lon,lat,name
10.889550,48.410460,AUGSBURG BELOW WERTACH
12.144000,49.018000,REGENSBURG/SCHWABELWEIS
13.116000,48.676000,HOFKIRCHEN
13.504000,48.582000,ACHLEITEN
12.015000,48.947000,OBERNDORF
12.747000,48.880000,PFELLING
12.694490,48.677430,LANDAU
12.233000,48.059000,WASSERBURG
12.834000,48.159000,BURGHAUSEN
13.443000,48.562000,PASSAU-INGLING
9.666667,45.016666,PIACENZA
10.550000,44.900002,BORETTO
11.600000,44.883335,PONTELAGOSCURO
11.316667,46.400002,BRONZOLO (BRANZOLL)
11.133333,46.066666,TRENTO
11.820000,45.100000,BOARA PISANI
12.483334,41.900000,ROMA
14.142000,52.864000,HOHENSAATEN-FINOW AP
14.688000,52.153000,EISENHUETTENSTADT
14.707000,51.969000,GUBEN 2
-21.006700,63.938100,SELFOSS
-20.635000,63.932800,THJORSARTUN
-16.449200,66.033600,FERJUBAKKI
-14.367500,65.505000,LAGARFOSS
5.450000,51.820000,LITH
5.710000,50.830000,SINT PIETER NOORD
6.170000,51.680000,VENLO
5.720000,50.870000,BORGHAREN
5.540000,51.820000,MEGEN DORP
6.110000,51.840000,LOBITH
15.266666,54.066666,TRZEBIATOW
16.330000,48.952915,SZENTGOTTHARD
17.416666,47.530000,RABASZENTMIKLOS
18.330000,47.730000,DUNAALMAS
18.950000,47.780000,NAGYMAROS
18.670000,46.000000,MOHACS
22.816668,48.099998,TISZABECS
20.166666,46.250000,SZEGED
20.483334,46.216667,MAKO
20.200001,47.183334,SZOLNOK
19.970000,47.480000,JASZTELEK
21.083334,47.866665,POLGAR
21.066668,47.883335,TISZAPALKONYA
20.840000,48.110000,FELSOEZSOLCA
21.283333,46.650000,GYULA
22.683332,47.833332,CSENGER
14.316700,52.766700,GOZDOWICE
14.583300,52.350000,SLUBICE
15.816700,52.866700,NOWE DREZDENKO
16.850000,52.666700,KOWANOWKO
14.900000,52.050000,POLECKO
15.316700,51.616700,ZAGAN
16.233300,52.733300,GORZOW WIELKOPOLSKI
15.500000,52.600000,SKWIERZYNA
16.966700,52.416700,POZNAN
18.266700,52.216700,KONIN
18.750000,51.600000,SIERADZ
18.866700,51.116700,DZIALOSZYN
18.100000,52.966700,NOWA WIES PODGORNA
17.916700,51.900000,BOGUSLAWICE
15.950000,52.900000,DRAWINY
18.799999,54.099998,TCZEW
20.716667,49.633335,NOWY SACZ
21.066668,50.299999,SZCZUCIN
21.030000,52.250000,WARSAW (WARSZAWA)
21.466667,52.599998,WYSZKOW
21.950001,50.683334,RADOMYSL
23.183332,50.983334,KRASNYSTAW
19.883333,51.083332,PRZEDBORZ
22.950001,52.950001,SURAZ
21.566668,53.083332,OSTROLEKA
21.799999,53.400002,PTAKI
-7.993166,53.193185,BANAGHER
-9.055369,53.269978,WOLFE TONE BRIDGE
-6.950919,52.540457,GRAIGUENAMANAGH U/S
18.870000,45.850000,BEZDAN
19.080000,45.530000,BOGOJEVO
20.643749,44.872917,PANCEVO
21.400000,44.800000,VELIKO GRADISTE
20.082500,45.932919,SENTA
15.603750,45.892502,CATEZ I
15.184167,46.068748,RADECE
15.088750,46.152500,HRASTNIK
16.380000,45.070000,BOSANSKI NOVI
19.644167,43.374584,PRIJEPOLJE
19.618334,44.981251,SREMSKA MITROVICA
15.996667,46.676666,GORNJA RADGONA
18.167500,45.766251,DONJI MIHOLJAC
16.000000,46.370000,BORL
16.000000,46.370000,BORL (REACT. 6546801)
20.804167,43.105835,LEPOSAVIC
21.120000,44.580000,LUBICEVSKY MOST
21.433332,41.980000,SKOPJE
-6.543000,54.981000,MOVANAGHER
-3.386000,56.515000,BALLATHIE
-3.140000,57.551000,BOAT O BRIG
-2.162000,55.723000,NORHAM
-1.134000,53.991000,SKELTON
-1.077000,52.953000,COLWICK
-0.307000,51.414000,KINGSTON
-0.307000,51.414000,KINGSTON (NATURALISED DISCHARGE)
-0.530000,51.420000,TEDDINGTON
-1.180000,51.640000,DAYS WEIR
-1.250000,51.630000,SUTTON COURTNEY
-2.684000,51.795000,REDBROOK
-2.320000,52.383000,BEWDLEY
20.332500,40.232082,DOREZ
26.417917,41.192501,MERIC KOEP
28.438334,40.299583,AKCASUSURLUK
27.430834,38.619583,MANISA
30.520000,40.970000,BOTBASI
30.200000,40.300000,DERECIKOEREN (DERECIKVIRAN)
34.750000,39.500000,KALEBOGAZI
35.833333,41.366667,INOEZUEKOSACA
36.721944,41.198889,CARSAMBA
41.714722,41.455000,KARSIKOEY
41.807500,39.766667,SOEYLEMEZ (MESCITLI)
33.333333,36.566667,KIRKYALAN
33.833333,36.416667,KARAHACILI
35.600000,36.950000,YAKAPINAR (MISIS)
36.083333,37.900000,HIMMETLI
36.300000,36.283333,DEMIRKOEPRUE
38.733611,38.797778,KEBAN
38.483333,39.450000,BAGISTAS
39.928889,38.691667,PALU
40.766667,39.950000,ASAGI KAGDARIC
28.050000,70.070000,POLMAK
28.016245,70.070335,POLMAK NYE
7.951432,58.247551,HEISEL
9.908034,59.880500,DOVIKFOSS
8.530000,59.370000,NESET
11.118062,59.609165,LANGNES
11.560000,60.880000,ELVERUM
11.677470,60.254318,SKARNES
11.153544,59.637333,SOLBERGFOSS
10.277533,61.333385,LOSNA
9.270000,61.830000,LALM
10.170000,63.040000,HAGA BRU
10.229018,63.108479,GAULFOSS
12.058680,64.468071,BERTNEM
12.230000,61.260000,NYBERGSUND
13.290730,65.621536,LAKFORS
18.658340,69.034927,MALANGSFOSS
23.635048,69.420044,MASI
23.516815,69.826302,KISTA
22.420000,44.700000,ORSOVA (1971
21.379444,44.814722,BAZIAS
24.500000,44.116665,STOENESTI
24.299444,45.385000,CORNET
25.354444,43.627222,ZIMNICEA
23.789444,44.255555,PODARI
26.812222,48.240833,RADAUTI
27.512222,45.555861,LUNGOCI
26.946111,46.725833,DRAGESTI
27.092010,44.683333,HARSOVA
28.716657,45.216667,CEATAL IZMAIL
26.578333,44.695555,COSERENI
21.518056,46.628333,ZERIND
21.321667,46.160833,ARAD
23.581667,46.037500,ALBA IULIA
21.176944,45.645833,SAG
22.876944,47.787222,SATU MARE
35.870000,32.730000,MAQARIN
35.820000,32.200000,JERASH BRIDGE
27.150000,68.900000,LAKE INARI OUTLET
27.020000,69.920000,UTSJOKI
27.020000,69.920000,ONNELANSUVANTO
22.820000,44.160000,NOVO SELO
24.000000,43.180000,KUNINO
23.240000,43.840000,LOM
24.400000,43.600000,ORAHOVICA
25.350000,43.630000,SVISTOV
25.950000,43.860000,RUSE
27.260000,44.130000,SILISTRA
22.120000,61.350000,KALSINKOSI
22.070000,61.200000,HARJAVALTA
21.730000,61.670000,ETELAJ-POHJAJ-LANKOSKI
22.700000,63.370000,KEPPO
24.400000,64.370000,TOLPANKOSKI (PYHANKOSKI)
25.400000,65.200000,HAUKIPUDAS
25.520000,65.020000,MERISKOSKI (NEAR THE MOUTH)
26.780000,64.570000,JYLHAMA (VAALA)
25.430000,65.320000,RAASAKKA (NEAR THE MOUTH)
25.100000,65.670000,SIMO
24.550000,65.780000,ISOHAARA (NEAR THE MOUTH)
27.350000,66.470000,SEITAKORVA
25.420000,66.780000,MARRASKOSKI-IISINKI
24.120000,64.200000,NIKAKOSKI (NEAR THE MOUTH)
21.850000,63.130000,SKATILA (LANSORSUND)
26.820000,60.700000,ANJALA
25.880000,62.230000,VAAJAKOSKI (HAAPAKOSKI)
28.780000,61.220000,TAINIONKOSKI
30.130000,62.780000,KALTIMO
27.770000,62.530000,KALLAVESI-KONNUS-KARVIO
23.116667,41.849998,KRUPNIK
24.750000,42.150002,PLOVDIV
25.900000,41.933334,KHARMANLI
27.533333,43.016666,GROZDOVO
7.450000,46.930000,BERN-SCHOENAU
7.590000,47.560000,BASEL(ST.ALBAN)
47.560000, SCHIFFLAENDE,BASEL
47.560000, MESSSTATION,RHEINFELDEN
8.310000,47.580000,REKINGEN
47.650000, FLURLINGERBRUECKE,NEUHAUSEN
9.460000,46.840000,DOMAT/EMS
8.240000,47.520000,UNTERSIGGENTHAL
8.170000,47.460000,BRUGG
7.780000,47.260000,MURGENTHAL
8.250000,47.390000,MELLINGEN
9.640000,47.380000,DIEPOLDSAU
5.970000,46.150000,CHANCY
6.890000,46.350000,PORTE DU SCEX
7.080000,46.150000,BRANSON
25.933332,48.299999,CHERNIVTSI
22.833334,48.099998,VYLOK
38.483334,63.833332,POROG
39.883335,62.566666,KAZAKOVO
39.370000,62.150000,CHEREPOVSKAYA
39.020000,61.570000,NADPOROZJSKY POGOST
39.299999,61.683334,TOROPOVSKAYA
38.850000,60.930000,GORKY
38.570000,62.130000,KOROVYI DVOR
41.916668,64.150002,UST-PINEGA
42.033333,63.283333,PODOSANYE (ZVOZ)
45.099990,62.083330,ABRAMKOVO
42.800000,62.520000,UST-SUMA
42.916660,62.099990,SHENKURSK
42.180000,61.120000,FILYAYEVSKAYA
41.816660,61.200000,BALAMUTOVSKAYA
40.780000,60.100000,KUBINSKAYA
43.480000,64.710000,KULOGORY
45.600000,63.580000,ZASURYE
46.780000,63.000000,SEVERNYY
46.200001,62.666668,SOGRA
44.393333,63.628750,PACHIKHA
44.166668,63.920000,SHILEGA
46.720000,61.720000,YARUKHINO
46.450000,60.570000,GAVRINO
47.079582,60.269165,PODOSINOVETS
45.766666,59.983334,KICHMENGSKIY GORODOK
45.847916,60.682499,BOLSHOYE KALIKINO
42.771252,59.978748,TOTMA
40.366665,59.366665,RABANGA
43.340000,61.132910,SHANGALY
43.954160,61.615410,BESTUZHEVO
44.707080,61.251220,NAZAROVSKAYA
43.000000,60.870000,MOISEYEVSKAYA
45.616665,65.033333,MALONISOGORSKAYA
48.816666,64.166664,PYSSA
49.450000,63.633335,MAKAR-YB
49.099998,64.633331,LARKINO
