site,latDD,lonDD
b0005772,54.3833,1.10833
b0005784,54.3833,-1.10833
b0005784,54.3833,1.10833
b0005796,54.2283,-0.0283333
b0005796,54.2283,0.0283333
b0005803,54.2283,-0.0283333
b0005803,54.2283,0.0283333
b0005815,54.2283,-0.0283333
b0005815,54.2283,0.0283333
b0005827,54.2283,-0.0283333
b0005827,54.2283,0.0283333
b0005839,54.3833,-1.10833
b0005839,54.3833,1.10833
b0005840,54.3833,-1.10833
b0005840,54.3833,1.10833
b0005852,52.3667,2
b0005852,52.3667,-2
b0005864,52.3667,2
b0005864,52.3667,-2
b0005876,54.2217,-0.03
b0005876,54.2217,0.03
b0005888,54.2217,-0.03
b0005888,54.2217,0.03
b0005907,54.2867,-0.123333
b0005907,54.2867,0.123333
b0005919,54.2867,-0.123333
b0005919,54.2867,0.123333
b0005920,54.3617,-0.11
b0005920,54.3617,0.11
b0005932,51.9483,1.755
b0005944,52.8817,1.45667
b0005956,57.4167,2.56667
b0005968,57.25,0.983333
b0005981,57.25,0.983333
b0005993,57.625,-0.116667
b0005993,57.625,0.116667
b0006007,57.625,-0.116667
b0006007,57.625,0.116667
b0006019,57.625,-0.116667
b0006019,57.625,0.116667
b0006020,52.2633,1.66667
b0006032,52.05,-1.05833
b0006032,52.05,1.725
b0006044,57.2833,4.26667
b0006056,57.2833,4.26667
b0006068,52.3667,-2.01667
b0006068,52.3667,2.01667
b0006081,52.2,1.8
b0006093,52.1833,1.91667
b0006100,52.1833,1.91667
b0006112,52.2,1.8
b0006124,52.2,1.8
b0006136,52.1833,1.91667
b0006148,52.1833,1.91667
b0006161,54.4833,0.3
b0006173,54.6333,2.55
b0006185,55.2667,4.48333
b0006197,55.2667,4.48333
b0006204,55.5333,6.96667
b0006216,55.5333,6.96667
b0006228,52.5833,2.58333
b0006241,52.5833,2.58333
b0006253,52.5333,4.21667
b0006265,52.3317,1.71333
b0006277,52.7017,1.81667
b0006289,52.7017,1.81667
b0006290,52.575,1.85667
b0006308,52.4017,1.83667
b0006321,52.4017,1.83667
b0006333,50.705,-1.025
b0006333,50.705,1.025
b0006345,50.705,-1.025
b0006345,50.705,1.025
b0006357,50.725,-1.01667
b0006357,50.725,1.01667
b0006369,50.565,1.48667
b0006370,50.565,1.48667
b0006382,50.565,1.48667
b0006394,50.565,1.48667
b0006401,50.06,-5.04333
b0006401,50.06,5.37667
b0006413,50.06,-5.04333
b0006413,50.06,5.37667
b0006425,49.9967,5.41667
b0006437,49.9967,5.41667
b0006449,49.985,-5.07
b0006449,49.985,5.07
b0006450,49.985,-5.07
b0006450,49.985,5.07
b0006462,49.9483,4.995
b0006474,50.1917,4.77667
b0006486,50.1917,4.77667
b0006498,50.0733,-4.165
b0006498,50.0733,4.665
b0006505,50.0733,-4.165
b0006505,50.0733,4.665
b0006517,50.1783,3.72833
b0006529,50.1783,3.72833
b0006530,50.1017,-3.04833
b0006530,50.1017,3.715
b0006542,50.1017,-3.04833
b0006542,50.1017,3.715
b0006554,49.9833,5.55
b0006566,49.9833,5.55
b0006578,49.8333,5.45
b0006591,49.3,-5.11667
b0006591,49.3,5.11667
b0006609,49.3,-5.11667
b0006609,49.3,5.11667
b0006610,49.3,-5.11667
b0006610,49.3,5.11667
b0006622,49.3583,-5.04167
b0006622,49.3583,5.04167
b0006634,49.3583,-5.04167
b0006634,49.3583,5.04167
b0006646,49.2833,5
b0006646,49.2833,-5
b0006658,49.2833,5
b0006658,49.2833,-5
b0006671,48.9667,4.93333
b0006683,48.8833,4.6
b0006695,48.8833,4.6
b0006702,71.35,25.5083
b0006714,71.35,25.5083
b0006726,72.375,-23
b0006738,72.7417,22.4333
b0006751,73.0833,-21.1333
b0006763,73.0833,-21.1333
b0006775,72.375,-23
b0006787,72.7417,22.4333
b0006799,73.9333,19.7833
b0006806,73.9333,19.7833
b0006818,73.9333,19.7833
b0006831,73.1167,-21.0167
b0006843,73.1167,-21.0167
b0006855,72.3833,-23.0167
b0006867,72.3833,-23.0167
b0006879,72.3833,-23.0167
b0006880,71.3667,25.1667
b0006892,71.3667,25.1667
b0006911,71.3667,25.1667
b0006923,46.725,45.9667
b0006935,46.725,45.9667
b0006947,46.6333,47.9667
b0006959,46.6333,47.9667
b0006960,46.6333,47.9667
b0006972,46.6333,47.9667
b0006984,54.9833,5.61667
b0006996,54.9667,5.61667
b0007011,54.9833,5.61667
b0007023,54.9833,5.61667
b0007035,54.9833,5.61667
b0007047,54.9667,5.61667
b0007059,54,-3.06667
b0007059,54,3.9
b0007060,54,-3.06667
b0007060,54,3.9
b0007072,53.6,3.7
b0007084,53.6,3.7
b0007096,53.4,5.83333
b0007103,53.4,5.83333
b0007115,53.4333,5.55
b0007127,53.4333,5.55
b0007139,52.0833,5
b0007139,52.0833,5.13333
b0007140,53.4,-5.11667
b0007140,53.4,5.11667
b0007152,54.0667,-5.15
b0007152,54.0667,5.31667
b0007164,54.0667,-5.15
b0007164,54.0667,5.31667
b0007176,54.2333,4.18333
b0007188,54.2333,4.18333
b0007207,51.62,1.24667
b0007219,51.66,1.20167
b0007220,51.7033,1.33667
b0007232,51.7067,1.4
b0007244,51.6133,1.28333
b0007256,51.675,1.40833
b0007268,51.7133,1.215
b0007281,51.7267,1.27333
b0007293,51.6267,1.21833
b0007300,51.6967,1.35167
b0007312,51.675,1.34833
b0007324,51.675,1.40833
b0007336,51.6533,1.52167
b0007348,51.6533,1.52167
b0007361,51.6483,1.575
b0007373,51.6433,1.67333
b0007385,51.6433,1.67333
b0007397,51.6667,-1.055
b0007397,51.6667,1.055
b0007404,51.635,-1.08833
b0007404,51.635,1.08833
b0007416,51.81,1.29667
b0007428,51.7917,1.34667
b0007441,51.6217,1.205
b0007453,51.6583,1.52333
b0007465,51.6583,1.52333
b0007477,51.6617,1.20167
b0007489,51.6383,1.57833
b0007490,51.57,1.41333
b0007508,51.755,1.335
b0007521,51.465,1.39667
b0007533,51.6483,1.67167
b0007545,51.4033,1.45
b0007557,52.05,-3.13333
b0007557,52.05,3.63333
b0007569,52.05,-3.13333
b0007569,52.05,3.63333
b0007570,52.4333,2.61667
b0007582,52.4333,2.61667
b0007594,52.4333,2.61667
b0007601,52.0167,-1.01667
b0007601,52.0167,1.68333
b0007613,52.0167,-1.01667
b0007613,52.0167,1.68333
b0007625,52.0167,-2
b0007625,52.0167,2.66667
b0007637,52.0167,-3.11667
b0007637,52.0167,3.61667
b0007649,52.0167,-3.11667
b0007649,52.0167,3.61667
b0007650,52.9,-3.11667
b0007650,52.9,3.11667
b0007662,52.9,-3.11667
b0007662,52.9,3.11667
b0007674,52.85,2.76667
b0007686,53.05,-3.15
b0007686,53.05,3.81667
b0007698,53.05,-3.15
b0007698,53.05,3.81667
b0007705,52.9833,3.46667
b0007717,52.9833,3.46667
b0007729,51.1,-1.05
