Filename	OriginatorsIdentifier	latDD	lonDD	Site	StartDate	StartTime	EndDate	EndTime											
cmd\b0004178.lst	S503B/AM79	61.3333	0	NS503	11/03/75	20:07:00	29/03/75	04:02:00											
cmd\b0004191.lst	S503L/AM80	61.3333	0	S503L/AM80	11/03/75	15:10:00	31/03/75	17:25:00											
cmd\b0004209.lst	S504L/AM81	61.3333	0	S504L/AM81	04/04/75	17:38:00	05/05/75	10:33:00											
cmd\b0004210.lst	S504T/AM82	61.3333	0	NS504	05/04/75	10:23:00	05/05/75	04:48:00											
cmd\b0004222.lst	S504B/AM83	61.3333	0	NS504	05/04/75	10:23:00	05/05/75	04:48:00											
cmd\b0004234.lst	S505L/AM84	61.3333	0	S505L/AM84	12/05/75	15:03:00	12/06/75	09:58:00											
cmd\b0004246.lst	S505T/AM85	61.3333	0	NS505	12/05/75	14:11:00	12/06/75	10:06:00											
cmd\b0004258.lst	S505B/AM86	61.3333	0	NS505	12/05/75	14:03:00	12/06/75	08:58:00											
cmd\b0004271.lst	S506T/AM87A	61.3333	0	NS506	20/06/75	13:40:00	27/06/75	16:50:00											
cmd\b0004283.lst	S507X/AM87B	61.3333	0	NS507	04/07/75	17:40:00	14/07/75	22:35:00											
cmd\b0004295.lst	S507Y/AM87C	61.3333	0	NS507	16/07/75	13:10:00	28/07/75	07:35:00											
cmd\b0004302.lst	S506B/AM88A	61.3333	0	NS506	20/06/75	13:43:00	27/06/75	16:08:00											
cmd\b0004314.lst	S507B/AM88B	61.3333	0	NS507	04/07/75	17:53:00	28/07/75	07:18:00											
cmd\b0004326.lst	S508T/AM91	61.3333	0	NS508	04/08/75	12:43:00	02/09/75	06:08:00											
cmd\b0004338.lst	S509T/AM92	61.3333	0	NS509	06/09/75	13:45:00	25/09/75	13:40:00											
cmd\b0004351.lst	S509B/AM93	61.3333	0	NS509	06/09/75	13:45:00	25/09/75	13:10:00											
cmd\b0004363.lst	F505L/AJ38	60	-4	NF505	07/05/75	09:25:00	03/06/75	15:20:00											
cmd\b0004375.lst	F312U/AJ1	60	-4	NF312	12/12/73	11:35:00	16/12/73	23:00:00											
