currents003.txt: 1130805600	1171496400	-179.9786	179.9935	-179.8275	178.6636	0.0051	4.0538
currents004.txt: 1130805600	1171496400	-179.9907	179.9882	-179.7457	179.0481	0.0024	3.2928
currents005.txt: 1130805600	1171496400	-179.9923	179.9928	-179.2576	179.4479	0.0007	3.1895
currents006.txt: 1130805600	1171496400	-179.9842	179.9966	-179.6384	179.8978	0.0012	3.1695
currents007.txt: 1130805600	1171496400	-179.9979	179.9879	-179.8767	179.9997	0.0034	3.0461
currents008.txt: 1122855600	1322696400	-179.9967	179.9906	-179.9786	179.9993	0.0026	3.313
currents009.txt: 1122855600	1322696400	-179.9993	179.9999	-179.9989	179.9925	0.0004	3.8882
currents010.txt: 1122855600	1322696400	-179.9958	179.9963	-179.9755	179.9542	0.0005	3.8166
currents011.txt: 1122855600	1322696400	-179.9979	179.9959	-179.9816	179.9835	0.0007	3.7503
currents012.txt: 1122855600	1322696400	-179.999	179.9913	-179.9136	179.9924	0.0019	3.3845
currents013.txt: 1122855600	1322696400	-179.9999	179.9891	-179.9345	179.9881	0.0015	3.3729
currents014.txt: 1122854400	1322696400	-179.9968	179.9997	-179.9941	179.9393	0.0009	3.0094
currents015.txt: 1122854400	1322696400	-179.9958	179.9969	-179.9957	179.9752	0.0008	3.154
currents016.txt: 1130805600	1171496400	-179.9827	179.9791	-179.9204	179.9702	0.0011	3.1318
currents017.txt: 1130806800	1171496400	-179.9845	179.9922	-179.9694	179.9941	0.0037	3.5271
currents023.txt: 1130805600	1171496400	-179.98	179.9533	-179.6678	179.321	0.005	3.9655
currents024.txt: 1130805600	1171496400	-179.9886	179.9979	-179.7478	179.9601	0.0002	3.1437
currents025.txt: 1130805600	1171496400	-179.9923	179.9974	-179.8065	179.4895	0.0034	2.9969
currents026.txt: 1130805600	1171496400	-179.9871	179.9808	-179.7167	179.7064	0.0025	2.9534
currents027.txt: 1130805600	1171496400	-179.9499	179.9808	-179.9301	179.6188	0.002	2.6867
currents028.txt: 1122854400	1322696400	-179.9954	179.998	-179.8895	179.9627	0.0009	3.3472
currents029.txt: 1122855600	1322696400	-179.9964	179.999	-179.9745	179.9598	0.0014	3.4037
currents030.txt: 1122855600	1322696400	-179.9928	179.9989	-179.9844	179.9723	0.0007	2.9935
currents031.txt: 1122855600	1322696400	-179.997	179.9997	-179.9982	179.8879	0.0005	2.8518
currents032.txt: 1122855600	1322696400	-179.9985	179.9993	-179.9987	179.907	0.0014	3.1632
currents033.txt: 1122854400	1322696400	-179.9893	179.9869	-179.9898	179.98	0.0006	2.7112
currents034.txt: 1122854400	1322696400	-179.9992	179.9993	-179.9854	179.9703	0.0007	3.0769
currents035.txt: 1122854400	1322696400	-179.9998	179.9985	-179.9438	179.9681	0.001	2.893
currents036.txt: 1130803200	1171496400	-179.9897	179.9476	-179.9632	179.9465	0.0013	3.52
currents037.txt: 1130804400	1171496400	-179.9996	179.9998	-179.867	179.8205	0.0016	3.3293
currents044.txt: 1130805600	1171496400	-179.9221	179.9859	-179.8528	179.7852	0.0034	2.9657
currents045.txt: 1130805600	1171496400	-179.9866	179.9685	-179.9634	179.9993	0.0035	2.9817
currents046.txt: 1130805600	1171496400	-179.9886	179.9978	-179.9765	179.7984	0.0017	2.8511
currents047.txt: 1130805600	1171496400	-179.9766	180	-179.9474	179.842	0.001	2.6731
currents048.txt: 1130805600	1171496400	-179.9596	179.9984	-179.7601	179.548	0.0012	2.3404
currents049.txt: 1122854400	1322696400	-179.9812	179.9969	-179.9742	179.9733	0.0009	3.2154
currents050.txt: 1122856800	1322696400	-179.9988	179.9998	-179.9948	179.9876	0.0006	2.6815
currents051.txt: 1122854400	1322696400	-179.9973	179.9996	-179.9208	179.9707	0.0008	2.9345
currents052.txt: 1122854400	1322696400	-179.9962	179.9857	-179.9835	179.8756	0.0009	2.7987
currents053.txt: 1122854400	1322696400	-179.9987	179.9962	-179.985	179.9476	0.0006	3.0039
currents054.txt: 1122854400	1322696400	-179.9958	179.9943	-179.9763	179.9892	0.0024	2.9712
currents055.txt: 1122854400	1322696400	-179.996	179.9973	-179.9575	179.999	0.0011	2.6874
currents056.txt: 1122854400	1322696400	-179.9958	179.9975	-179.9809	179.9603	0.0006	2.815
currents057.txt: 1130803200	1171496400	-179.9965	179.9934	-179.9677	179.9968	0.0034	2.8402
currents058.txt: 1130803200	1171496400	-179.995	179.9933	-179.9796	179.9493	0.0012	2.3548
currents065.txt: 1130805600	1171496400	-179.9941	179.9979	-179.8076	179.991	0.0026	2.8001
currents066.txt: 1130805600	1171496400	-179.9974	179.8884	-179.4603	179.7602	0.0037	2.6685
currents067.txt: 1130805600	1171496400	-179.9882	179.9989	-179.8387	179.8996	0.0025	2.5379
currents068.txt: 1130805600	1171496400	-179.987	179.9786	-179.9742	179.773	0.0006	2.1662
currents069.txt: 1122854400	1322696400	-179.9939	179.9972	-179.985	179.9921	0.0015	2.9484
currents070.txt: 1122854400	1322696400	-179.9952	179.996	-179.9658	179.9503	0.001	2.435
currents071.txt: 1122854400	1322696400	-179.999	179.9987	-179.9557	179.9978	0.0002	2.7072
currents072.txt: 1122854400	1322696400	-179.9919	179.9876	-179.9766	179.9888	0.0011	2.6093
currents073.txt: 1122854400	1322696400	-179.999	179.9988	-179.9743	179.9498	0.0008	2.5492
currents074.txt: 1122854400	1322696400	-179.9931	179.9983	-179.9638	179.949	0.0013	2.2604
