Id,ORIG_FID,POINT_X,POINT_Y
0,0,-5.90334014323,49.1435767191
0,0,-5.90125811485,49.2354834005
0,0,-5.37151077958,49.3043935827
0,0,-5.37029130582,49.5044368523
0,0,-4.67406101551,49.5058645289
0,0,-4.67453690771,49.8294712257
0,0,-5.73244527091,49.8289953335
0,0,-5.7310175943,50.0283941658
0,0,-5.27035394357,49.9394023242
0,0,-5.15613981529,49.9394023242
0,0,-4.4592315649,50.0690757853
0,0,-3.57475003082,50.2130403398
0,0,-3.57950895283,49.9993647415
0,0,-3.43864486129,49.9974611727
0,0,-3.43959664569,49.6077054599
0,0,-3.58521965924,49.5515501802
0,0,-3.74654711544,49.5425082284
0,0,-3.75178192965,49.5396528752
0,0,-3.94356648672,49.5306109234
0,0,-4.2995338532,49.4582753088
0,0,-4.36711054576,49.4525646024
0,0,-4.53890763038,49.3873673708
0,0,-5.17755496435,49.2431720339
0,0,-5.34506901916,49.2160461784
0,0,-5.67438642236,49.2022453046
0,0,-5.90334014323,49.1435767191
