Id,ORIG_FID,POINT_X,POINT_Y
0,0,-6.30783357945,56.0055375037
0,0,-6.0013590019,56.0074410725
0,0,-5.92331268091,55.9655625588
0,0,-6.10415171735,55.9103590635
0,0,-6.10034457974,55.8608662745
0,0,-6.13651238703,55.8494448617
0,0,-6.13080168062,55.9312983203
0,0,-6.16696948791,55.9351054579
0,0,-6.25643722173,55.8799019626
0,0,-6.29450859782,55.8799019626
0,0,-6.30783357945,56.0055375037
0,1,-5.33665656992,55.8985906459
0,1,-5.2474267822,55.8331554682
0,1,-5.19388890957,55.8837190146
0,1,-5.14035103694,55.7796175956
0,1,-5.05112124922,55.749874333
0,1,-5.01840366039,55.7736689431
0,1,-5.05706990174,55.8837190146
0,1,-4.97676309279,55.8658730571
0,1,-4.88158465256,55.9997177387
0,1,-4.72691968718,56.0056663912
0,1,-4.62579259443,55.9491541923
0,1,-4.81912380116,55.946179866
0,1,-4.91132791513,55.8480270995
0,1,-4.8786103263,55.714182418
0,1,-4.82804677993,55.6368499353
0,1,-4.69122777209,55.6190039777
0,1,-4.63768989946,55.517876885
0,1,-4.71502238215,55.4167497922
0,1,-4.81317514864,55.3513146146
0,1,-4.92917387268,55.1758293654
0,1,-5.04814692297,55.0538819888
0,1,-5.01840366039,54.9854724849
0,1,-5.15224834197,55.0033184425
0,1,-5.19388890957,54.9557292223
0,1,-5.06301855425,54.8189102145
0,1,-4.89348195759,54.6315276603
0,1,-4.89050763133,54.708860143
0,1,-4.93214819893,54.7505007106
0,1,-4.92322522016,54.8575764559
0,1,-4.79830351735,54.8575764559
0,1,-4.67933046706,54.8159358883
0,1,-4.5722547218,54.7415777318
0,1,-4.42651273519,54.6820912067
0,1,-4.37594918882,54.7058858167
0,1,-4.34323159999,54.7980899307
0,1,-4.43841004022,54.8843453922
0,1,-4.22723287596,54.8635251084
0,1,-4.17369500332,54.7921412782
0,1,-3.92682592397,54.7980899307
0,1,-3.72159741222,54.8932683709
0,1,-3.57585542561,54.8932683709
0,1,-3.56693244684,54.9884468112
0,1,-3.08806591941,54.9765495062
0,1,-3.34385797754,54.9111143285
0,1,-3.51636890046,54.6731682279
0,1,-3.59965003567,54.4917343262
0,1,-3.45390804906,54.3549153184
0,1,-3.39739585017,54.2775828357
0,1,-3.32601202,54.2032246793
0,1,-3.23678223228,54.200250353
0,1,-3.26949982111,54.1258921966
0,1,-3.20703896971,54.0693799977
0,1,-3.0612969831,54.1645584379
0,1,-3.05237400433,54.212147658
0,1,-2.98991315292,54.1556354591
0,1,-2.93340095403,54.1556354591
0,1,-2.93340095403,54.2091733318
0,1,-2.79955627246,54.1258921966
0,1,-2.90663201772,54.0396367351
0,1,-2.89176038643,53.9682529049
0,1,-2.98099017415,53.9385096424
0,1,-3.06427130936,53.9295866636
0,1,-3.05832265684,53.7511270881
0,1,-2.92745230152,53.7362554569
0,1,-3.09698889819,53.5934877965
0,1,-3.04345102555,53.4447714836
0,1,-3.19514166468,53.3704133272
0,1,-3.10591187696,53.299029497
0,1,-3.09401457193,53.2692862345
0,1,-3.18324435965,53.2454916244
0,1,-3.32601202,53.3495930434
0,1,-3.70077712842,53.2782092132
0,1,-3.83164748374,53.3347214121
0,1,-4.08446521561,53.2306199931
0,1,-4.08149088935,53.3139011283
0,1,-4.21533557093,53.3168754546
0,1,-4.46517897654,53.4328741786
0,1,-4.56928039554,53.3971822635
0,1,-4.57820337432,53.3139011283
0,1,-4.70609940338,53.3287727596
0,1,-4.70015075086,53.2960551708
0,1,-4.34620592625,53.1146212691
0,1,-4.37297486256,53.0194428289
0,1,-4.6138952894,52.9302130411
0,1,-4.75963727601,52.8112399908
0,1,-4.52169117543,52.7993426858
0,1,-4.42651273519,52.8885724735
0,1,-4.21830989718,52.9331873674
0,1,-4.13205443572,52.8677521897
0,1,-4.14097741449,52.8142143171
0,1,-4.06661925806,52.7249845294
0,1,-4.13205443572,52.6089858053
0,1,-4.05769627929,52.5286789964
0,1,-4.12015713069,52.3650910523
0,1,-4.2450788335,52.2490923282
0,1,-4.69122777209,52.1152476466
0,1,-4.8577900425,52.0111462276
0,1,-5.0808645118,52.0260178589
0,1,-5.38127146378,51.853506936
0,1,-5.11953075314,51.8237636734
