ID,GRIDCODE,Area,ORIG_FID,POINT_X,POINT_Y
1,111,683.724,0,-6.1642152637,55.3270334332
1,111,683.724,0,-6.1642473275,55.3265846871
1,111,683.724,0,-6.16503441004,55.3266029651
1,111,683.724,0,-6.16575740048,55.3275187314
1,111,683.724,0,-6.16578944743,55.3270699848
1,111,683.724,0,-6.16736363475,55.3271065161
1,111,683.724,0,-6.16733160554,55.3275552634
1,111,683.724,0,-6.16575740048,55.3275187314
1,111,683.724,0,-6.17356454246,55.3285986877
1,111,683.724,0,-6.17435167125,55.3286169062
1,111,683.724,0,-6.17431971919,55.329065656
1,111,683.724,0,-6.17353258153,55.3290474373
1,111,683.724,0,-6.17356454246,55.3285986877
1,111,683.724,0,-6.17671306298,55.3286715311
1,111,683.724,0,-6.17750019535,55.3286897293
1,111,683.724,0,-6.17743636131,55.3295872314
1,111,683.724,0,-6.1766492112,55.3295690326
1,111,683.724,0,-6.17671306298,55.3286715311
1,111,683.724,0,-6.18836117154,55.3311877479
1,111,683.724,0,-6.18914836166,55.3312058716
1,111,683.724,0,-6.18911657372,55.331654627
1,111,683.724,0,-6.18832937473,55.331636503
1,111,683.724,0,-6.18836117154,55.3311877479
1,111,683.724,0,-6.20460782469,55.3356061323
1,111,683.724,0,-6.20539511334,55.3356241523
1,111,683.724,0,-6.20536350378,55.3360729135
1,111,683.724,0,-6.20457620626,55.3360548932
1,111,683.724,0,-6.20460782469,55.3356061323
1,111,683.724,0,-6.24744296492,55.3433213608
1,111,683.724,0,-6.24823043511,55.3433391065
1,111,683.724,0,-6.24819930074,55.3437878834
1,111,683.724,0,-6.24741182167,55.3437701375
1,111,683.724,0,-6.24744296492,55.3433213608
1,111,683.724,0,-6.28254175789,55.3490515825
1,111,683.724,0,-6.2825110049,55.3495003718
1,111,683.724,0,-6.28172338992,55.3494828458
1,111,683.724,0,-6.28175415181,55.3490340567
1,111,683.724,0,-6.28254175789,55.3490515825
1,111,683.724,0,-6.28332936484,55.3490691032
1,111,683.724,0,-6.28411697265,55.3490866188
1,111,683.724,0,-6.28408623743,55.3495354088
1,111,683.724,0,-6.28329862073,55.3495178929
1,111,683.724,0,-6.28332936484,55.3490691032
1,111,683.724,0,-6.28490458132,55.3491041294
1,111,683.724,0,-6.28569219086,55.3491216349
1,111,683.724,0,-6.28566147341,55.3495704254
1,111,683.724,0,-6.28487385499,55.3495529197
1,111,683.724,0,-6.28490458132,55.3491041294
1,111,683.724,0,-6.70560347533,55.3168325511
1,111,683.724,0,-6.70557753841,55.317281488
1,111,683.724,0,-6.7047903076,55.3172666941
1,111,683.724,0,-6.7048162534,55.3168177575
1,111,683.724,0,-6.70560347533,55.3168325511
1,111,683.724,0,-6.55977411235,55.3301852024
1,111,683.724,0,-6.55980170978,55.3297363137
1,111,683.724,0,-6.56058910531,55.329752044
1,111,683.724,0,-6.56061669308,55.329303155
1,111,683.724,0,-6.5614040805,55.32931888
1,111,683.724,0,-6.56137650161,55.3297677693
1,111,683.724,0,-6.56216389869,55.3297834895
1,111,683.724,0,-6.56213632791,55.330232379
1,111,683.724,0,-6.56134892195,55.3302166585
1,111,683.724,0,-6.56132134152,55.3306655477
1,111,683.724,0,-6.56053392744,55.3306498219
1,111,683.724,0,-6.56056151676,55.330200933
1,111,683.724,0,-6.55977411235,55.3301852024
1,111,683.724,0,-6.29426409083,55.3506602418
1,111,683.724,0,-6.29505173734,55.3506776873
1,111,683.724,0,-6.29499050971,55.3515752751
1,111,683.724,0,-6.29420284543,55.351557829
1,111,683.724,0,-6.29426409083,55.3506602418
1,111,683.724,0,-6.29662703293,55.3507125631
1,111,683.724,0,-6.29741468202,55.3507299934
1,111,683.724,0,-6.29744526788,55.3502811986
1,111,683.724,0,-6.29895941381,55.3512136342
1,111,683.724,0,-6.2973840953,55.3511787882
1,111,683.724,0,-6.29735350772,55.3516275829
1,111,683.724,0,-6.29577817486,55.3515927161
1,111,683.724,0,-6.29580878021,55.351143922
1,111,683.724,0,-6.29659643732,55.3511613576
1,111,683.724,0,-6.29662703293,55.3507125631
1,111,683.724,0,-6.29895941381,55.3512136342
1,111,683.724,0,-6.29971651344,55.3516798451
1,111,683.724,0,-6.29892884401,55.3516624295
1,111,683.724,0,-6.29895941381,55.3512136342
1,111,683.724,0,-6.29968595167,55.3521286407
1,111,683.724,0,-6.29971651344,55.3516798451
1,111,683.724,0,-6.30050418373,55.3516972557
1,111,683.724,0,-6.30047363085,55.3521460516
1,111,683.724,0,-6.29968595167,55.3521286407
1,111,683.724,0,-6.29968595167,55.3521286407
1,111,683.724,0,-6.29965538905,55.3525774362
1,111,683.724,0,-6.29886770184,55.35256002
1,111,683.724,0,-6.29889827335,55.3521112248
1,111,683.724,0,-6.29968595167,55.3521286407
1,111,683.724,0,-6.30047363085,55.3521460516
1,111,683.724,0,-6.30126131088,55.3521634574
1,111,683.724,0,-6.30123076603,55.3526122535
1,111,683.724,0,-6.30044307711,55.3525948474
1,111,683.724,0,-6.30047363085,55.3521460516
1,111,683.724,0,-6.30438153028,55.3526818272
1,111,683.724,0,-6.30516922348,55.3526992079
1,111,683.724,0,-6.30513872222,55.3531480054
1,111,683.724,0,-6.30435102013,55.3531306244
1,111,683.724,0,-6.30438153028,55.3526818272
1,111,683.724,0,-6.54993738182,55.3362804328
1,111,683.724,0,-6.55072490133,55.336296228
1,111,683.724,0,-6.55069719454,55.3367451132
1,111,683.724,0,-6.54990966614,55.3367293178
1,111,683.724,0,-6.54993738182,55.3362804328
1,111,683.724,0,-6.31843873284,55.3547891137
1,111,683.724,0,-6.31922647695,55.3548064043
1,111,683.724,0,-6.3191961323,55.3552552068
1,111,683.724,0,-6.3184083793,55.355237916
1,111,683.724,0,-6.31843873284,55.3547891137
1,111,683.724,0,-6.34807341048,55.3599307188
1,111,683.724,0,-6.34886127568,55.3599478195
1,111,683.724,0,-6.34883126048,55.3603966324
1,111,683.724,0,-6.34804338639,55.3603795315
1,111,683.724,0,-6.34807341048,55.3599307188
1,111,683.724,0,-6.34807341048,55.3599307188
1,111,683.724,0,-6.34728554613,55.3599136131
1,111,683.724,0,-6.34649768262,55.3598965023
1,111,683.724,0,-6.34570981995,55.3598793864
1,111,683.724,0,-6.34492195812,55.3598622654
1,111,683.724,0,-6.34413409714,55.3598451394
1,111,683.724,0,-6.34334623699,55.3598280083
1,111,683.724,0,-6.34337631361,55.3593791973
1,111,683.724,0,-6.3425884632,55.3593620614
1,111,683.724,0,-6.34180061364,55.3593449205
1,111,683.724,0,-6.3418307072,55.35889611
1,111,683.724,0,-6.34261854787,55.3589132507
1,111,683.724,0,-6.34264863169,55.3584644399
1,111,683.724,0,-6.34186079991,55.3584472995
1,111,683.724,0,-6.3418307072,55.35889611
1,111,683.724,0,-6.34104286738,55.3588789642
1,111,683.724,0,-6.34107296898,55.358430154
1,111,683.724,0,-6.3402851389,55.3584130034
1,111,683.724,0,-6.3402550284,55.3588618134
1,111,683.724,0,-6.33946719026,55.3588446575
1,111,683.724,0,-6.33867935297,55.3588274965
1,111,683.724,0,-6.33631584617,55.3587759832
1,111,683.724,0,-6.33634600114,55.3583271746
1,111,683.724,0,-6.33637615526,55.3578783661
1,111,683.724,0,-6.33640630854,55.3574295575
1,111,683.724,0,-6.33561850131,55.3574123771
1,111,683.724,0,-6.33564866263,55.3569635687
1,111,683.724,0,-6.33486086513,55.3569463835
1,111,683.724,0,-6.33483069492,55.3573951916
1,111,683.724,0,-6.33477035195,55.3582928076
1,111,683.724,0,-6.33319470615,55.3582584203
1,111,683.724,0,-6.33322489584,55.3578096128
1,111,683.724,0,-6.3324370831,55.3577924119
1,111,683.724,0,-6.33007364997,55.3577407784
1,111,683.724,0,-6.33010387438,55.3572919721
1,111,683.724,0,-6.33089167569,55.357309188
1,111,683.724,0,-6.33092189036,55.3568603814
1,111,683.724,0,-6.33013409795,55.3568431658
1,111,683.724,0,-6.33010387438,55.3572919721
1,111,683.724,0,-6.32695267763,55.3572230577
1,111,683.724,0,-6.32698293677,55.3567742525
1,111,683.724,0,-6.3261951486,55.3567570115
1,111,683.724,0,-6.32540736127,55.3567397654
1,111,683.724,0,-6.32461957479,55.3567225142
1,111,683.724,0,-6.32464985976,55.3562737098
1,111,683.724,0,-6.32307430713,55.3562391929
1,111,683.724,0,-6.32228653209,55.3562219268
1,111,683.724,0,-6.32231684288,55.3557731232
1,111,683.724,0,-6.32310460903,55.355790389
1,111,683.724,0,-6.32316521028,55.3548927812
1,111,683.724,0,-6.32237746191,55.3548755159
1,111,683.724,0,-6.32234715282,55.3553243196
1,111,683.724,0,-6.32231684288,55.3557731232
1,111,683.724,0,-6.32074131314,55.3557385764
1,111,683.724,0,-6.3191657868,55.3557040093
1,111,683.724,0,-6.3191961323,55.3552552068
1,111,683.724,0,-6.31998388616,55.3552724926
1,111,683.724,0,-6.32083229375,55.3543921671
1,111,683.724,0,-6.32080196773,55.3548409703
