Id,ORIG_FID,POINT_X,POINT_Y
0,0,-3.87704839803,57.8641200598
0,0,-3.87625127859,57.9828115406
0,0,-3.10610303214,58.3522585536
0,0,-2.60931754098,58.3527582404
0,0,-2.60836575658,58.3741733895
0,0,-2.31086528016,58.3728408913
0,0,-2.31129358314,58.3472854801
0,0,-2.32468994861,58.3419673848
0,0,-2.37656219853,58.3072272541
0,0,-2.36799613891,58.2953299491
0,0,-2.37085149212,58.2505960822
0,0,-2.403688054,58.2291809331
0,0,-2.44937370531,58.2234702267
0,0,-2.48934865021,58.2296568253
0,0,-2.67685017747,58.1049730686
0,0,-2.83199103505,57.9983732155
0,0,-3.38973669482,57.9988491077
0,0,-3.41257952047,57.9864759105
0,0,-3.41210362827,57.8261002387
0,0,-3.57057573126,57.8270520231
0,0,-3.56724448585,57.8308591607
0,0,-3.78139597638,57.8660751836
0,0,-3.87704839803,57.8641200598
