Id,Area,ORIG_FID,POINT_X,POINT_Y
0,23618.5566567,0,4.57999993371,52.4716637677
0,23618.5566567,0,4.58583411938,52.4711091574
0,23618.5566567,0,4.59083448933,52.472777258
0,23618.5566567,0,4.59694462499,52.4730545771
0,23618.5566567,0,4.60111050356,52.4708313466
0,23618.5566567,0,4.59805552406,52.4677797312
0,23618.5566567,0,4.59388903259,52.465835478
0,23618.5566567,0,4.58944408189,52.4638903013
0,23618.5566567,0,4.58527846842,52.4619456521
0,23618.5566567,0,4.58111116897,52.4600009638
0,23618.5566567,0,4.57694421106,52.4580516047
0,23618.5566567,0,4.57388871447,52.4552780815
0,23618.5566567,0,4.57083300396,52.4522257811
0,23618.5566567,0,4.56805613071,52.4491651846
0,23618.5566567,0,4.5663895178,52.4452761523
0,23618.5566567,0,4.56388910364,52.4416678707
0,23618.5566567,0,4.56166620949,52.4383301363
0,23618.5566567,0,4.55916672123,52.4347217427
0,23618.5566567,0,4.55749968041,52.430832589
0,23618.5566567,0,4.55527750613,52.4272248967
0,23618.5566567,0,4.55361094723,52.4233312434
0,23618.5566567,0,4.55111107118,52.4197226841
0,23618.5566567,0,4.54944437233,52.4158334099
0,23618.5566567,0,4.54777847974,52.4116653143
0,23618.5566567,0,4.54611157065,52.4077759941
0,23618.5566567,0,4.54444416154,52.4038911769
0,23618.5566567,0,4.54277796295,52.3997185746
0,23618.5566567,0,4.5405562479,52.3963848626
0,23618.5566567,0,4.53888938538,52.3922212544
0,23618.5566567,0,4.53638903888,52.3888865705
0,23618.5566567,0,4.53416624643,52.3852785694
0,23618.5566567,0,4.53194366524,52.3816660026
0,23618.5566567,0,4.52944556526,52.3783356638
0,23618.5566567,0,4.52722292667,52.3747275298
0,23618.5566567,0,4.52472187176,52.3713926087
0,23618.5566567,0,4.52249966575,52.3677753383
0,23618.5566567,0,4.52027838873,52.364441239
0,23618.5566567,0,4.51777712269,52.3608319906
0,23618.5566567,0,4.51499995301,52.3577791987
0,23618.5566567,0,4.51249999401,52.3544485265
0,23618.5566567,0,4.51027774652,52.3508310266
0,23618.5566567,0,4.50805583494,52.3475057475
0,23618.5566567,0,4.50555541663,52.3438871881
0,23618.5566567,0,4.5027775754,52.3411083026
0,23618.5566567,0,4.50111083715,52.3369441526
0,23618.5566567,0,4.49861094537,52.3333344813
0,23618.5566567,0,4.49638859076,52.3299999463
0,23618.5566567,0,4.49416551892,52.3263866736
0,23618.5566567,0,4.49166731071,52.3230600596
0,23618.5566567,0,4.48944469267,52.3194421712
0,23618.5566567,0,4.48638893416,52.3166664068
0,23618.5566567,0,4.48361113953,52.3136128884
0,23618.5566567,0,4.48166669346,52.3119424628
0,23618.5566567,0,4.4794449417,52.3083333339
0,23618.5566567,0,4.47694490448,52.3050019954
0,23618.5566567,0,4.47472211909,52.3013927902
0,23618.5566567,0,4.47305583678,52.2975024178
0,23618.5566567,0,4.47083362009,52.2938932152
0,23618.5566567,0,4.46833313383,52.2905570949
0,23618.5566567,0,4.46555550016,52.2874986306
0,23618.5566567,0,4.4630558913,52.2838882032
0,23618.5566567,0,4.46083438906,52.280557509
0,23618.5566567,0,4.45861130462,52.2769480027
0,23618.5566567,0,4.45555582173,52.2736140303
0,23618.5566567,0,4.45388879137,52.2694492076
0,23618.5566567,0,4.45138920914,52.2661127175
0,23618.5566567,0,4.44861061255,52.2630538676
0,23618.5566567,0,4.44611092332,52.2594430818
0,23618.5566567,0,4.44388921508,52.2561120705
0,23618.5566567,0,4.44166698918,52.2525022334
0,23618.5566567,0,4.43861056149,52.2497253321
0,23618.5566567,0,4.43583292984,52.246666171
0,23618.5566567,0,4.43333262699,52.2430550384
0,23618.5566567,0,4.43111080517,52.2397237878
0,23618.5566567,0,4.4288886869,52.236113792
0,23618.5566567,0,4.42583404881,52.2333319356
0,23618.5566567,0,4.42305561757,52.2302770054
0,23618.5566567,0,4.42055566838,52.2266702025
0,23618.5566567,0,4.41777787783,52.2236106198
0,23618.5566567,0,4.41472222022,52.2208330108
0,23618.5566567,0,4.41166656613,52.2177811369
0,23618.5566567,0,4.40888899514,52.2147213436
0,23618.5566567,0,4.40527790637,52.2122198711
0,23618.5566567,0,4.403055119,52.2088835838
0,23618.5566567,0,4.40000014079,52.2058314015
0,23618.5566567,0,4.39638932296,52.2033296559
0,23618.5566567,0,4.3936107226,52.2005527456
0,23618.5566567,0,4.39000015563,52.1980597612
0,23618.5566567,0,4.3869446338,52.1949982077
0,23618.5566567,0,4.38416694012,52.1919468791
0,23618.5566567,0,4.38111080114,52.1891638902
0,23618.5566567,0,4.37750016147,52.1861131118
0,23618.5566567,0,4.37444360627,52.1830513322
0,23618.5566567,0,4.37166683468,52.1802738868
0,23618.5566567,0,4.36861054326,52.1772253492
0,23618.5566567,0,4.36500027742,52.1747226437
0,23618.5566567,0,4.36222345698,52.1716707073
0,23618.5566567,0,4.35861132915,52.1694420998
0,23618.5566567,0,4.35499967346,52.1669481484
0,23618.5566567,0,4.35222198618,52.1638870298
0,23618.5566567,0,4.34861113711,52.1613927912
0,23618.5566567,0,4.3449996059,52.1588894924
0,23618.5566567,0,4.34083413786,52.1569453612
0,23618.5566567,0,4.33722245076,52.1544418278
0,23618.5566567,0,4.33361143959,52.1519472189
0,23618.5566567,0,4.32999948021,52.1497176558
0,23618.5566567,0,4.32638830352,52.1472228291
0,23618.5566567,0,4.3222231001,52.1452780423
0,23618.5566567,0,4.3188891349,52.1427753582
0,23618.5566567,0,4.31527819237,52.1402756701
0,23618.5566567,0,4.3116658808,52.1377803246
