Id,ORIG_FID,POINT_X,POINT_Y
0,0,-2.25205181531,56.8351321141
0,0,-2.20714011041,56.8355405837
0,0,-1.50686473639,56.8355405837
0,0,-1.50662679029,56.8488655653
0,0,-1.49758483847,56.8491035114
0,0,-1.49758483847,56.6530359246
0,0,-1.51709641872,56.1645325801
0,0,-2.13789779514,56.1633428496
0,0,-2.13917675543,56.2489915485
0,0,-2.50337705698,56.2479921748
0,0,-2.50880222807,56.2461361952
0,0,-2.54335200188,56.2471355689
0,0,-2.5450652138,56.2491343161
0,0,-2.6098817316,56.2487060131
0,0,-2.60931066096,56.2559871638
0,0,-2.5753319578,56.2788299895
0,0,-2.56747973648,56.2951055027
0,0,-2.57011654293,56.2958844437
0,0,-2.61033162344,56.2949704646
0,0,-2.60941764434,56.4366372255
0,0,-2.25205181531,56.8351321141
