Id,Area,Coverage,ORIG_FID,POINT_X,POINT_Y
0,0,24145.0,0,-1.95776951278,50.5909809089
0,0,24145.0,0,-1.95696329278,50.5915581689
0,0,24145.0,0,-1.95625692278,50.5915364689
0,0,24145.0,0,-1.95574830278,50.5917361189
0,0,24145.0,0,-1.95512614278,50.5921961889
0,0,24145.0,0,-1.95379720278,50.5929296989
0,0,24145.0,0,-1.95142280278,50.5937934089
0,0,24145.0,0,-1.95037693278,50.5939366289
0,0,24145.0,0,-1.94955715278,50.5940711889
0,0,24145.0,0,-1.94923191278,50.5943489689
0,0,24145.0,0,-1.94916083278,50.5947569489
0,0,24145.0,0,-1.94951389278,50.5951171989
0,0,24145.0,0,-1.95027643278,50.5956032989
0,0,24145.0,0,-1.95108059278,50.5965798589
0,0,24145.0,0,-1.95168661278,50.5981119789
0,0,24145.0,0,-1.95179864278,50.5991275989
0,0,24145.0,0,-1.95155748278,50.6000086789
0,0,24145.0,0,-1.95059529278,50.6013194489
0,0,24145.0,0,-1.95038250278,50.6020486189
0,0,24145.0,0,-1.94934923278,50.6036241389
0,0,24145.0,0,-1.94818944278,50.6045052189
0,0,24145.0,0,-1.94561579278,50.6055989689
0,0,24145.0,0,-1.94410306278,50.6060416689
0,0,24145.0,0,-1.94314169278,50.6064366389
0,0,24145.0,0,-1.94290053278,50.6070095489
0,0,24145.0,0,-1.94343750278,50.6072091989
0,0,24145.0,0,-1.94494996278,50.6071310889
0,0,24145.0,0,-1.94670221278,50.6074088489
0,0,24145.0,0,-1.94868083278,50.6073394189
0,0,24145.0,0,-1.94991063278,50.6073828089
0,0,24145.0,0,-1.95118273278,50.6072048689
0,0,24145.0,0,-1.95265192278,50.6077994789
0,0,24145.0,0,-1.95365534278,50.6078993189
0,0,24145.0,0,-1.95422025278,50.6082465389
0,0,24145.0,0,-1.95457304278,50.6090234389
0,0,24145.0,0,-1.95522190278,50.6103255189
0,0,24145.0,0,-1.95551717278,50.6119444389
0,0,24145.0,0,-1.95561442278,50.6137977489
0,0,24145.0,0,-1.95528782278,50.6153645989
0,0,24145.0,0,-1.95429634278,50.6172352389
0,0,24145.0,0,-1.95361613278,50.6191319389
0,0,24145.0,0,-1.95234144278,50.6214236089
0,0,24145.0,0,-1.95075589278,50.6235112889
0,0,24145.0,0,-1.94901530278,50.6247873389
0,0,24145.0,0,-1.94700590278,50.6263498289
0,0,24145.0,0,-1.94506755278,50.6275520789
0,0,24145.0,0,-1.94393555278,50.6282291789
0,0,24145.0,0,-1.94294528278,50.6286154589
0,0,24145.0,0,-1.94148831278,50.6289366289
0,0,24145.0,0,-1.93822144278,50.6294227389
0,0,24145.0,0,-1.93684978278,50.6295269089
0,0,24145.0,0,-1.93566135278,50.6298958389
0,0,24145.0,0,-1.93324301278,50.6301562489
0,0,24145.0,0,-1.93185642278,50.6307682389
0,0,24145.0,0,-1.93144587278,50.6310546989
0,0,24145.0,0,-1.93090753278,50.6317447989
0,0,24145.0,0,-1.93038303278,50.6325998289
0,0,24145.0,0,-1.92966023278,50.6335980889
0,0,24145.0,0,-1.92879611278,50.6346050389
0,0,24145.0,0,-1.92822917278,50.6354861189
0,0,24145.0,0,-1.92747830278,50.6363671889
0,0,24145.0,0,-1.92619059278,50.6368532989
0,0,24145.0,0,-1.92613308278,50.6374739589
0,0,24145.0,0,-1.92532552278,50.6383984389
0,0,24145.0,0,-1.92470310278,50.6385243089
0,0,24145.0,0,-1.92419285278,50.6392274289
0,0,24145.0,0,-1.92427694278,50.6396397689
0,0,24145.0,0,-1.92389446278,50.6399348989
0,0,24145.0,0,-1.92338446278,50.6405816089
0,0,24145.0,0,-1.92281888278,50.6403776089
0,0,24145.0,0,-1.92247939278,50.6404730889
0,0,24145.0,0,-1.92274780278,50.6406987889
0,0,24145.0,0,-1.92223782278,50.6412022589
0,0,24145.0,0,-1.92222304278,50.6415104089
