LEFT_FID,RIGHT_FID,ORIG_FID,POINT_X,POINT_Y
-1,0,0,-1.94435568753,50.6820330417
-1,0,0,-1.94574281256,50.6813392866
-1,0,0,-1.94312015462,50.6846449311
-1,0,0,-1.94435568753,50.6820330417
-1,0,1,4.58059479896,52.4690460206
-1,0,1,4.58642898463,52.4684914102
-1,0,1,4.59142935459,52.4701595108
-1,0,1,4.59753949024,52.4704368299
-1,0,1,4.60170536881,52.4682135994
-1,0,1,4.59865038931,52.465161984
-1,0,1,4.59448389784,52.4632177308
-1,0,1,4.59003894714,52.4612725541
-1,0,1,4.58587333367,52.4593279049
-1,0,1,4.58170603422,52.4573832166
-1,0,1,4.57753907631,52.4554338575
-1,0,1,4.57448357972,52.4526603343
-1,0,1,4.57142786921,52.4496080339
-1,0,1,4.56865099596,52.4465474375
-1,0,1,4.56698438306,52.4426584051
-1,0,1,4.5644839689,52.4390501235
-1,0,1,4.56226107474,52.4357123891
-1,0,1,4.55976158648,52.4321039956
-1,0,1,4.55809454566,52.4282148418
-1,0,1,4.55587237138,52.4246071495
-1,0,1,4.55420581248,52.4207134962
-1,0,1,4.55170593644,52.4171049369
-1,0,1,4.55003923758,52.4132156628
-1,0,1,4.54837334499,52.4090475671
-1,0,1,4.5467064359,52.4051582469
-1,0,1,4.54503902679,52.4012734297
-1,0,1,4.5433728282,52.3971008274
-1,0,1,4.54115111315,52.3937671155
-1,0,1,4.53948425063,52.3896035072
-1,0,1,4.53698390413,52.3862688233
-1,0,1,4.53476111169,52.3826608222
-1,0,1,4.5325385305,52.3790482554
-1,0,1,4.53004043051,52.3757179167
-1,0,1,4.52781779193,52.3721097826
-1,0,1,4.52531673701,52.3687748615
-1,0,1,4.523094531,52.3651575912
-1,0,1,4.52087325398,52.3618234918
-1,0,1,4.51837198794,52.3582142435
-1,0,1,4.51559481826,52.3551614515
-1,0,1,4.51309485926,52.3518307793
-1,0,1,4.51087261177,52.3482132794
-1,0,1,4.5086507002,52.3448880003
-1,0,1,4.50615028188,52.341269441
-1,0,1,4.50337244065,52.3384905554
-1,0,1,4.5017057024,52.3343264055
-1,0,1,4.49920581062,52.3307167341
-1,0,1,4.49698345602,52.3273821991
-1,0,1,4.49476038417,52.3237689264
-1,0,1,4.49226217596,52.3204423125
-1,0,1,4.49003955792,52.316824424
-1,0,1,4.48698379941,52.3140486596
-1,0,1,4.48420600478,52.3109951412
-1,0,1,4.48226155871,52.3093247156
-1,0,1,4.48003980696,52.3057155867
-1,0,1,4.47753976973,52.3023842482
-1,0,1,4.47531698434,52.298775043
-1,0,1,4.47365070203,52.2948846706
-1,0,1,4.47142848534,52.291275468
-1,0,1,4.46892799908,52.2879393477
-1,0,1,4.46615036541,52.2848808834
-1,0,1,4.46365075655,52.281270456
-1,0,1,4.46142925431,52.2779397618
-1,0,1,4.45920616988,52.2743302556
-1,0,1,4.45615068699,52.2709962831
-1,0,1,4.45448365662,52.2668314604
-1,0,1,4.45198407439,52.2634949703
-1,0,1,4.4492054778,52.2604361204
-1,0,1,4.44670578857,52.2568253347
-1,0,1,4.44448408033,52.2534943234
-1,0,1,4.44226185444,52.2498844862
-1,0,1,4.43920542674,52.247107585
-1,0,1,4.43642779509,52.2440484238
-1,0,1,4.43392749224,52.2404372912
-1,0,1,4.43170567042,52.2371060406
-1,0,1,4.42948355215,52.2334960448
-1,0,1,4.42642891406,52.2307141884
-1,0,1,4.42365048283,52.2276592582
-1,0,1,4.42115053363,52.2240524553
-1,0,1,4.41837274308,52.2209928727
-1,0,1,4.41531708547,52.2182152636
-1,0,1,4.41226143138,52.2151633898
-1,0,1,4.40948386039,52.2121035965
-1,0,1,4.40587277162,52.209602124
-1,0,1,4.40364998425,52.2062658366
-1,0,1,4.40059500604,52.2032136544
-1,0,1,4.39698418821,52.2007119088
-1,0,1,4.39420558785,52.1979349984
-1,0,1,4.39059502088,52.195442014
-1,0,1,4.38753949905,52.1923804605
-1,0,1,4.38476180537,52.1893291319
-1,0,1,4.38170566639,52.186546143
-1,0,1,4.37809502672,52.1834953646
-1,0,1,4.37503847152,52.180433585
-1,0,1,4.37226169993,52.1776561396
-1,0,1,4.36920540851,52.174607602
-1,0,1,4.36559514267,52.1721048965
-1,0,1,4.36281832223,52.1690529601
-1,0,1,4.3592061944,52.1668243526
-1,0,1,4.35559453871,52.1643304012
-1,0,1,4.35281685143,52.1612692826
-1,0,1,4.34920600236,52.158775044
-1,0,1,4.34559447115,52.1562717453
-1,0,1,4.34142900311,52.154327614
-1,0,1,4.33781731601,52.1518240806
-1,0,1,4.33420630484,52.1493294717
-1,0,1,4.33059434546,52.1470999087
-1,0,1,4.32698316877,52.144605082
-1,0,1,4.32281796535,52.1426602951
-1,0,1,4.31948400016,52.140157611
-1,0,1,4.31587305762,52.1376579229
-1,0,1,4.31226074605,52.1351625774
-1,0,1,4.30948394788,52.1332153505
-1,0,1,4.30587317609,52.1307153564
-1,0,1,4.30226103445,52.1282197047
-1,0,1,4.29892753578,52.1257164381
-1,0,1,4.29531783187,52.1232115901
-1,0,1,4.29226144533,52.1201611561
-1,0,1,4.28864958569,52.1179348369
-1,0,1,4.28531706231,52.1154401354
-1,0,1,4.2817052839,52.1129348959
-1,0,1,4.27809485585,52.1104340527
-1,0,1,4.27448414561,52.1079376237
-1,0,1,4.27170562607,52.1048790522
-1,0,1,4.26809490013,52.1023869497
-1,0,1,4.26448391634,52.1001598854
-1,0,1,4.26087303204,52.0976630438
-1,0,1,4.25809513753,52.0946041463
-1,0,1,4.25448398266,52.0921025921
-1,0,1,4.25142885643,52.0890510076
-1,0,1,4.24809449676,52.0868295505
-1,0,1,4.24504005665,52.0837688356
-1,0,1,4.24142765722,52.0812668967
-1,0,1,4.23864965513,52.0782165855
-1,0,1,4.23559455326,52.0751556336
-1,0,1,4.23281768393,52.0723794446
-1,0,1,4.22920632267,52.0698860804
-1,0,1,4.22614972455,52.0668249
-1,0,1,4.22337190512,52.0637742275
-1,0,1,4.21976233832,52.0612715984
-1,0,1,4.21614999758,52.059052034
-1,0,1,4.2133731041,52.0559921589
-1,0,1,4.21031783972,52.0529395973
-1,0,1,4.20698261329,52.0504381993
-1,0,1,4.20392820024,52.0476596518
-1,0,1,4.2003165441,52.0451564514
-1,0,1,4.19670612472,52.0421045845
-1,0,1,4.19253886817,52.0401597665
-1,0,1,4.18892845414,52.0376562062
-1,0,1,4.18614949107,52.0348788586
-1,0,1,4.1825400995,52.0323841351
-1,0,1,4.17892732522,52.0298847306
-1,0,1,4.17615018562,52.0268239832
-1,0,1,4.1730949821,52.0237703752
-1,0,1,4.17031798881,52.0209972402
-1,0,1,4.16726145112,52.0179345361
-1,0,1,4.16504012519,52.0143285179
-1,0,1,4.16226219349,52.0112673668
-1,0,1,4.15920603308,52.0084922014
-1,0,1,4.15642733482,52.0054399621
-1,0,1,4.15337306636,52.0023813124
-1,0,1,4.15004016746,51.9998828904
-1,0,1,4.1464283089,51.9973824838
-1,0,1,4.14226088131,51.9954358989
-1,0,1,4.13865048613,51.9932184717
-1,0,1,4.13448391672,51.9912716047
-1,0,1,4.13031757011,51.9893245051
-1,0,1,4.12615133165,51.9871075898
-1,0,1,4.12142810523,51.9857185643
-1,0,1,4.11642754768,51.9843274571
-1,0,1,4.11170599248,51.9829379436
-1,0,1,4.10559446231,51.9823840254
-1,0,1,4.10003867597,51.9815504149
-1,0,1,4.09420540133,51.9812674971
-1,0,1,4.08726141507,51.9812689005
-1,0,1,4.08059504922,51.9812672649
-1,0,1,4.07337346713,51.9821065216
-1,0,1,4.06670707338,51.9821086206
-1,0,1,4.05976198206,51.9821083281
-1,0,1,4.05254043732,51.9826585544
-1,0,1,4.04503881048,51.9834985716
-1,0,1,4.03948366593,51.9848874139
-1,0,1,4.03226235969,51.9854364756
-1,0,1,4.02531672574,51.9854341545
-1,0,1,4.0217061616,51.9854340347
-1,0,1,4.015594701,51.9821062034
-1,0,1,4.01281640198,51.9790505996
-1,0,1,4.01253944486,51.9751596921
-1,0,1,4.01420601279,51.9715488608
-1,0,1,4.01559459057,51.9682146705
-1,0,1,4.01726059902,51.9648825036
-1,0,1,4.01948291467,51.9621029155
-1,0,1,4.02198337319,51.9590512039
-1,0,1,4.02337289422,51.9557168199
-1,0,1,4.02559534786,51.9526584826
-1,0,1,4.02726181339,51.9493261572
-1,0,1,4.0286497033,51.9459917174
-1,0,1,4.03031654818,51.9426549029
-1,0,1,4.03253891072,51.9396052995
-1,0,1,4.03337259293,51.9359969429
-1,0,1,4.03476058114,51.9326625037
-1,0,1,4.03642754143,51.9293300283
-1,0,1,4.0378168622,51.9259954524
-1,0,1,4.0400395958,51.922936733
-1,0,1,4.04254016917,51.9198845518
-1,0,1,4.04476144176,51.917104546
-1,0,1,4.04976164465,51.9151584137
-1,0,1,4.05281665717,51.9126584865
-1,0,1,4.05059518567,51.9090503002
-1,0,1,4.04698354338,51.9068300824
-1,0,1,4.04420692818,51.9037707376
-1,0,1,4.04059510678,51.9012761348
-1,0,1,4.03698361322,51.8987723766
-1,0,1,4.03420533527,51.8957127267
-1,0,1,4.03142777899,51.8926620466
-1,0,1,4.02837332727,51.8898834734
-1,0,1,4.02670633581,51.8857170012
-1,0,1,4.02670596851,51.881553982
-1,0,1,4.02976072486,51.8790501172
-1,0,1,4.0330948054,51.876548325
-1,0,1,4.03698352853,51.8743292232
-1,0,1,4.04087162892,51.8721054753
-1,0,1,4.04503899559,51.869879118
-1,0,1,4.04809485931,51.8673837985
-1,0,1,4.05226048601,51.8651571964
-1,0,1,4.05531657754,51.8626616829
-1,0,1,4.05837222563,51.8601615707
-1,0,1,4.06170616234,51.8576588671
-1,0,1,4.06476184432,51.8548798695
-1,0,1,4.06726162006,51.8521013947
-1,0,1,4.06948439637,51.8490510203
-1,0,1,4.07170571779,51.8459917398
-1,0,1,4.07420565851,51.8432130249
-1,0,1,4.07726146524,51.8404382098
-1,0,1,4.07976075953,51.8376593779
-1,0,1,4.06920558807,51.8309941498
-1,0,1,4.06503988792,51.8290492663
-1,0,1,4.06031703036,51.8276577305
-1,0,1,4.05559456743,51.8262705233
-1,0,1,4.04670628624,51.8229376815
-1,0,1,4.04337308045,51.8246081806
-1,0,1,4.03920596664,51.8265512706
-1,0,1,4.0361505965,51.8293296994
-1,0,1,4.03281628523,51.8318226537
-1,0,1,4.02809497807,51.8334959288
-1,0,1,4.02420579111,51.835714766
-1,0,1,4.02003865897,51.8379358818
-1,0,1,4.01614970693,51.8401634885
-1,0,1,4.01114996126,51.8418250003
-1,0,1,4.00726202515,51.8440477793
-1,0,1,4.0022621792,51.8448861648
-1,0,1,3.99559476788,51.8451585892
-1,0,1,3.98948352226,51.8446032161
-1,0,1,3.98392891488,51.8437731189
-1,0,1,3.97920625571,51.8423828517
-1,0,1,3.97448408851,51.8407136781
-1,0,1,3.96976203672,51.8393230279
-1,0,1,3.96476162578,51.8379344708
-1,0,1,3.96142862185,51.8362713799
-1,0,1,3.95670563424,51.8348846522
-1,0,1,3.95198378904,51.8334933726
-1,0,1,3.94726137845,51.8321062621
-1,0,1,3.94170586361,51.8309910329
-1,0,1,3.9369840263,51.8296035063
-1,0,1,3.93226166843,51.8282158785
-1,0,1,3.92670550635,51.8273830982
-1,0,1,3.92142865914,51.8262691562
-1,0,1,3.91587315551,51.8254402972
-1,0,1,3.91059504089,51.8243258801
-1,0,1,3.90503988047,51.8234920705
-1,0,1,3.89892916602,51.8232197531
-1,0,1,3.89364996269,51.8221045016
-1,0,1,3.88753868709,51.8218315973
-1,0,1,3.88142911613,51.8212750455
-1,0,1,3.87670566592,51.8198852006
-1,0,1,3.87253835717,51.8179380566
-1,0,1,3.86837338484,51.8159952691
-1,0,1,3.86615067633,51.8123836117
-1,0,1,3.86587327014,51.8082181044
-1,0,1,3.86670594226,51.8046019328
-1,0,1,3.86809519021,51.8012693197
-1,0,1,3.86976237497,51.7979346337
-1,0,1,3.87198413561,51.7943261412
-1,0,1,3.87420622206,51.7915492218
-1,0,1,3.87587260679,51.7882145311
-1,0,1,3.87476187724,51.7834932771
-1,0,1,3.87198356705,51.7807130281
-1,0,1,3.86920608844,51.7776629508
-1,0,1,3.86559500872,51.7751629772
-1,0,1,3.86281710442,51.7720993557
-1,0,1,3.85865061802,51.7701651913
-1,0,1,3.85448423273,51.7682173993
-1,0,1,3.85087296716,51.7657169752
-1,0,1,3.8461507316,51.7643258998
-1,0,1,3.84254023499,51.7618251308
-1,0,1,3.83976213129,51.758774445
-1,0,1,3.83753986969,51.7554409379
-1,0,1,3.83587274745,51.7512717362
-1,0,1,3.83420580675,51.7473812227
-1,0,1,3.83281637551,51.7432145248
-1,0,1,3.8305951334,51.7407126669
-1,0,1,3.82531654904,51.7396078378
-1,0,1,3.81865068404,51.7407154519
-1,0,1,3.81309490883,51.7421026915
-1,0,1,3.80587263451,51.742660431
-1,0,1,3.79837229006,51.7432150929
-1,0,1,3.79114978228,51.7437719282
-1,0,1,3.78448445121,51.7440504108
-1,0,1,3.77837319432,51.7434930598
-1,0,1,3.77365097182,51.7421035154
-1,0,1,3.76892822983,51.7407138688
