3.2763889,51.9986111,Euro_platform,Euro_platform
3.2202778,53.2177778,K13a_platform,K13a_platform
3.6697222,51.9258333,Lichteiland_Goeree,Lichteiland_Goeree
3.2763889,51.9986111,Euro_platform,Euro_platform
3.2202778,53.2177778,K13a_platform,K13a_platform
3.6697222,51.9258333,Lichteiland_Goeree,Lichteiland_Goeree
3.2763889,51.9986111,Euro_platform,Euro_platform
3.6697222,51.9258333,Lichteiland_Goeree,Lichteiland_Goeree
3.2763889,51.9986111,Euro_platform,Euro_platform
3.2202778,53.2177778,K13a_platform,K13a_platform
3.2763889,51.9986111,Euro_platform,Euro_platform
3.6697222,51.9258333,Lichteiland_Goeree,Lichteiland_Goeree
3.2763889,51.9986111,Euro_platform,Euro_platform
3.2202778,53.2177778,K13a_platform,K13a_platform
3.6697222,51.9258333,Lichteiland_Goeree,Lichteiland_Goeree
3.2763889,51.9986111,Euro_platform,Euro_platform
3.2202778,53.2177778,K13a_platform,K13a_platform
3.6697222,51.9258333,Lichteiland_Goeree,Lichteiland_Goeree
3.2763889,51.9986111,Euro_platform,Euro_platform
3.2202778,53.2177778,K13a_platform,K13a_platform
3.6697222,51.9258333,Lichteiland_Goeree,Lichteiland_Goeree
3.2763889,51.9986111,Euro_platform,Euro_platform
3.2202778,53.2177778,K13a_platform,K13a_platform
3.6697222,51.9258333,Lichteiland_Goeree,Lichteiland_Goeree
3.2763889,51.9986111,Euro_platform,Euro_platform
3.2202778,53.2177778,K13a_platform,K13a_platform
3.6697222,51.9258333,Lichteiland_Goeree,Lichteiland_Goeree
3.2763889,51.9986111,Euro_platform,Euro_platform
3.2202778,53.2177778,K13a_platform,K13a_platform
