Station ID., Latitude, Longitude, Sea floor depth, Start date, Record length, IAPSO no.
RBC3, 51 24.6N, 5 00.6W,60, 1980-04-01,27, 
RN, 57 14.0N, 10 04.0W,2118, 1980-04-28,34, 1.1.64
NSTEEPHOLM, 51 20.3N, 3 06.2W,5, 1980-05-08,41, 
NLAVERNOCK POINT, 51 24.4N, 3 09.7W,4, 1980-05-08,40, 
"RB1,M0", 45 59.1N, 46 26.7W,697, 1980-08-05,127, 
RA1, 46 03.8N, 46 34.0W,525, 1980-08-05,126, 
"RA1,M4,M5,M6", 46 03.8N, 46 34.0W,525, 1980-08-05,127, 1.2.37
RA3, 43 06.3N, 35 11.1W,3515, 1980-08-05,120, 1.1.65
"RA3,M4", 43 06.4N, 35 11.1W,3457, 1980-08-05,121, 1.1.65
"RB2,M0", 44 29.4N, 40 30.0W,2380, 1980-08-08,123, 
RA4, 34 12.8N, 28 54.6W,3577, 1980-08-10,105, 1.1.66
RA5, 43 01.5N, 21 51.6W,2548, 1980-08-13,122, 
"RD11,M5,M6", 45 01.3N, 15 24.7W,2830, 1980-08-14,123, 1.1.68
RM, 51 08.4N, 9 47.8W,117, 1980-08-30,55, 1.1.60
RE, 51 21.3N, 8 31.0W,92, 1980-08-31,55, 
RF, 50 31.7N, 7 36.7W,110, 1980-09-02,47, 1.1.56
RK, 50 31.4N, 9 48.5W,130, 1980-09-03,50, 1.1.58
RL, 48 47.7N, 7 01.4W,125, 1980-09-07,42, 1.1.59
RG, 49 39.6N, 8 31.7W,140, 1980-09-07,45, 1.1.57
"RY1,M4,M5", 44 56.5N, 15 34.6W,3164, 1980-12-15,218, 1.1.69
RB, 53 14.4N, 2 06.0E,35, 1981-05-06,41, 
RE, 54 00.6N, 0 50.4E,48, 1981-05-07,37, 
RH, 54 48.0N, 0 15.0E,77, 1981-05-07,37, 
RJ, 55 35.0N, 0 45.6E,75, 1981-05-09,37, 
RL, 55 19.6N, 0 32.7W,70, 1981-05-10,36, 
RP, 56 16.0N, 1 12.0W,60, 1981-05-11,36, 
"RPA,M5,M6", 26 18.0S, 47 30.6W,74, 1981-06-17,30, 1.4.3
"RHB,M6,M7", 18 02.5S, 36 08.3W,152, 1981-06-20,23, 1.3.11
NLOWER LOCH, 56 34.0N, 5 18.7W,8, 1981-07-23,64, 
NUPPER LOCH, 56 34.0N, 5 18.7W,8, 1981-07-23,64, 
"RA6H,M0", 33 59.9N, 34 52.9W,3066, 1981-12-01,106, 1.1.70
"RA7A,M0", 33 55.3N, 41 11.5W,3372, 1981-12-05,101, 1.2.38
"RG1,M5,M6", 26 34.6N, 43 57.5W,3600, 1981-12-08,96, 1.2.39
"RG2,M6", 19 00.4N, 47 30.6W,3470, 1981-12-11,91, 1.3.12
"RG2A,M0", 19 00.4N, 47 30.6W,3470, 1981-12-11,91, 1.3.12
"RG3,M5,M6", 14 42.4N, 48 50.4W,3527, 1981-12-14,87, 1.3.13
"RG4H,M0", 9 59.1N, 50 31.1W,4850, 1981-12-15,85, 1.3.14
"RG5,M5,M6", 6 59.6N, 51 33.3W,3764, 1981-12-16,83, 1.3.15
"RA6-1,M5", 57 19.0N, 9 52.5W,2004, 1982-04-28,117, 1.1.75
"RA6-2,M5", 57 19.0N, 9 52.5W,2004, 1982-08-22,179, 1.1.75
"RC4-1,M5", 59 11.8N, 7 41.3W,1095, 1982-08-22,173, 1.1.78
"RB5-1,M5", 58 11.5N, 9 57.5W,1870, 1982-08-23,153, 1.1.76
"RB5-2,M5", 58 11.5N, 9 57.5W,1870, 1982-08-23,173, 
"RC1,M5", 58 59.2N, 7 23.9W,206, 1982-08-24,60, 1.1.77
"RC4-2,M5", 59 11.8N, 7 41.3W,1095, 1982-08-24,169, 
"RD1-1,M5", 59 38.7N, 6 00.5W,200, 1982-08-27,82, 1.1.79
"RB2,M3", 58 00.8N, 9 09.0W,213, 1982-08-28,59, 
"RF3,M5,M6", 61 24.2N, 2 05.6W,1025, 1982-10-04,163, 1.1.82
"RF1,M5", 61 07.9N, 1 33.1W,185, 1982-10-04,163, 1.1.81
"RG4,M5,M6", 63 07.9N, 0 00.4W,1579, 1982-10-05,164, 1.1.84
"RG1,M5", 61 30.0N, 0 01.3W,190, 1982-10-06,162, 1.1.83
"RE3,M5,M6", 60 31.7N, 4 58.8W, , 1982-10-09,166, 1.1.80
"RB1,M3", 57 54.7N, 8 48.5W,146, 1982-10-25,103, 
"RD1-2,M5", 59 38.7N, 6 00.5W,200, 1983-02-03,10, 
