1.576888	0.133363	-75113.927856	5382683.232208
11.344262	4.563322	400119.589968	5636481.332443
11.124039	5.460247	391181.190258	5694552.195043
10.418366	4.632520	357703.695702	5642235.138773
6.484481	4.202057	177033.654230	5622040.212907
3.578509	3.835354	39599.729210	5609977.471954
1.721135	3.590332	-45517.139540	5601845.287041
0.124445	3.149313	-123450.578285	5582870.188912
3.207492	5.611022	34584.881847	5723421.451483
4.355308	5.485568	85411.037550	5709867.809962
5.929428	2.565885	144279.020555	5519552.930252
6.428096	1.014787	162576.436608	5420069.201490
1.609823	0.380376	-72579.243777	5397841.229396
