Current meter data series
Search results generated on 2012-07-26

Instrument: All available instruments
Platform: All available platforms
Geographic area: 53° 43' N to 53° 16' N and 4° 25' W to 3° 1' W
Date range: 09 April 1968 to 19 April 2007
Duration: All available durations
Water depth: All available water depths
Instrument depth: All available instrument depths
Project: All available projects
Country: All available countries
Organisation: All available organisations
Quality control: All data, including those not quality controlled
Data warnings: All data, including those with warnings
"Absent data values for water depth and max series depth are represented by -99."



Row,BODC reference,Instrument,Platform,Latitude A,Latitude B,Longitude A,Longitude B,Positional definition,Start date,End date,Series duration,Sea floor depth,Series depth minimum,Series depth maximum,Project,Country,Organisation,Quality control (QC),Series availability,Warnings,Documentation,
16,701791,"Acoustic doppler current profiler","fixed benthic node",53.45417,-99.0,-3.64533,-999.0,"Fixed point",2005-04-05,2005-05-12,37,28.6,0.0,25.9,"unknown","United Kingdom","Proudman Oceanographic Laboratory",N,"Unrestricted",N,http://www.bodc.ac.uk/data/documents/series/701791/
17,13342,"Impeller current meter","subsurface mooring",53.5066,-99.0,-4.0616,-999.0,"Fixed point",1975-12-04,1975-12-11,7,44.0,21.0,21.0,"unknown","United Kingdom","Centre for Environment, Fisheries and Aquaculture Science Lowestoft Laboratory",Y,"Unrestricted",Y,http://www.bodc.ac.uk/data/documents/series/13342/
18,18684,"Impeller current meter","subsurface mooring",53.4333,-99.0,-3.7833,-999.0,"Fixed point",1970-11-10,1970-11-18,8,24.0,20.0,20.0,"unknown","United Kingdom","Centre for Environment, Fisheries and Aquaculture Science Lowestoft Laboratory",Y,"Unrestricted",N,http://www.bodc.ac.uk/data/documents/series/18684/
19,15072,"Savonius rotor current meter","subsurface mooring",53.4533,-99.0,-3.7033,-999.0,"Fixed point",1971-04-20,1971-06-03,44,28.0,20.0,20.0,"unknown","United Kingdom","Institute of Oceanographic Sciences Bidston Laboratory",Y,"Unrestricted",N,http://www.bodc.ac.uk/data/documents/series/15072/
20,577628,"Impeller current meter","subsurface mooring",53.4733,-99.0,-3.55,-999.0,"Fixed point",1997-07-06,1997-08-07,32,20.0,11.0,11.0,"unknown","United Kingdom","Centre for Environment, Fisheries and Aquaculture Science Lowestoft Laboratory",Y,"Unrestricted",N,http://www.bodc.ac.uk/data/documents/series/577628/
21,18900,"Impeller current meter","subsurface mooring",53.5333,-99.0,-3.5499,-999.0,"Fixed point",1970-11-10,1970-11-18,8,27.0,21.0,21.0,"unknown","United Kingdom","Centre for Environment, Fisheries and Aquaculture Science Lowestoft Laboratory",Y,"Unrestricted",N,http://www.bodc.ac.uk/data/documents/series/18900/
22,15011,"Savonius rotor current meter","subsurface mooring",53.4549,-99.0,-3.3966,-999.0,"Fixed point",1972-03-07,1972-03-15,8,16.0,11.0,11.0,"unknown","United Kingdom","Institute of Oceanographic Sciences Bidston Laboratory",Y,"Unrestricted",N,http://www.bodc.ac.uk/data/documents/series/15011/
23,577616,"Impeller current meter","subsurface mooring",53.47,-99.0,-3.5515,-999.0,"Fixed point",1997-05-21,1997-06-08,18,21.0,18.0,18.0,"unknown","United Kingdom","Centre for Environment, Fisheries and Aquaculture Science Lowestoft Laboratory",Y,"Unrestricted",N,http://www.bodc.ac.uk/data/documents/series/577616/
24,16099,"Savonius rotor current meter","subsurface mooring",53.5883,-99.0,-4.0916,-999.0,"Fixed point",1977-10-18,1977-11-28,41,44.0,22.0,22.0,"unknown","United Kingdom","Institute of Oceanographic Sciences Bidston Laboratory",Y,"Unrestricted",N,http://www.bodc.ac.uk/data/documents/series/16099/
25,18912,"Impeller current meter","subsurface mooring",53.5333,-99.0,-3.5499,-999.0,"Fixed point",1970-11-18,1971-01-21,64,27.0,22.0,22.0,"unknown","United Kingdom","Centre for Environment, Fisheries and Aquaculture Science Lowestoft Laboratory",Y,"Unrestricted",N,http://www.bodc.ac.uk/data/documents/series/18912/
26,15987,"Savonius rotor current meter","subsurface mooring",53.5083,-99.0,-4.0499,-999.0,"Fixed point",1975-12-04,1975-12-11,7,47.0,28.0,28.0,"unknown","United Kingdom","Institute of Oceanographic Sciences Bidston Laboratory",Y,"Unrestricted",N,http://www.bodc.ac.uk/data/documents/series/15987/
27,18924,"Impeller current meter","subsurface mooring",53.5333,-99.0,-3.5499,-999.0,"Fixed point",1971-01-21,1971-02-28,38,27.0,7.0,7.0,"unknown","United Kingdom","Centre for Environment, Fisheries and Aquaculture Science Lowestoft Laboratory",Y,"Unrestricted",N,http://www.bodc.ac.uk/data/documents/series/18924/
28,72249,"Savonius rotor current meter","subsurface mooring",53.6083,-99.0,-3.9183,-999.0,"Fixed point",1987-03-11,1987-03-23,12,43.0,41.5,41.5,"CONOCO Drilling Site Survey Block 110/11","United Kingdom","Palmer Marine Surveys",Y,"Unrestricted",N,http://www.bodc.ac.uk/data/documents/series/72249/
29,593235,"Acoustic doppler current profiler","subsurface mooring",53.5328,-99.0,-3.3673,-999.0,"Fixed point",2002-08-07,2002-09-25,49,25.0,0.0,25.0,"Coastal Observatory","United Kingdom","Proudman Oceanographic Laboratory",N,"Unrestricted",N,http://www.bodc.ac.uk/data/documents/series/593235/
30,14695,"Savonius rotor current meter","subsurface mooring",53.6466,-99.0,-4.3633,-999.0,"Fixed point",1977-03-19,1977-04-18,30,59.0,24.0,24.0,"unknown","United Kingdom","Institute of Oceanographic Sciences Bidston Laboratory",Y,"Unrestricted",N,http://www.bodc.ac.uk/data/documents/series/14695/
31,577641,"Impeller current meter","subsurface mooring",53.4733,-99.0,-3.55,-999.0,"Fixed point",1997-07-06,1997-08-07,32,20.0,17.0,17.0,"unknown","United Kingdom","Centre for Environment, Fisheries and Aquaculture Science Lowestoft Laboratory",Y,"Unrestricted",N,http://www.bodc.ac.uk/data/documents/series/577641/
32,15489,"Savonius rotor current meter","subsurface mooring",53.6883,-99.0,-3.5383,-999.0,"Fixed point",1977-03-16,1977-04-16,31,38.0,20.0,20.0,"unknown","United Kingdom","Institute of Oceanographic Sciences Bidston Laboratory",Y,"Unrestricted",N,http://www.bodc.ac.uk/data/documents/series/15489/
33,14879,"Savonius rotor current meter","subsurface mooring",53.4549,-99.0,-3.6733,-999.0,"Fixed point",1970-06-12,1970-07-08,26,28.0,8.0,8.0,"unknown","United Kingdom","Institute of Oceanographic Sciences Bidston Laboratory",Y,"Unrestricted",N,http://www.bodc.ac.uk/data/documents/series/14879/
34,15778,"Savonius rotor current meter","subsurface mooring",53.6466,-99.0,-4.3633,-999.0,"Fixed point",1977-03-19,1977-04-18,30,59.0,51.0,51.0,"unknown","United Kingdom","Institute of Oceanographic Sciences Bidston Laboratory",Y,"Unrestricted",N,http://www.bodc.ac.uk/data/documents/series/15778/
35,18893,"Impeller current meter","subsurface mooring",53.5333,-99.0,-3.5499,-999.0,"Fixed point",1970-11-10,1970-11-18,8,27.0,16.0,16.0,"unknown","United Kingdom","Centre for Environment, Fisheries and Aquaculture Science Lowestoft Laboratory",Y,"Unrestricted",N,http://www.bodc.ac.uk/data/documents/series/18893/
