BODC reference,Oceanographic data type,Instrument,Platform,Latitude A,Latitude B,Longitude A,Longitude B,Positional definition,Start date,End date,Series duration (days),Sea floor depth (m),Series depth minimum (m),Series depth maximum (m),Project,Country,Organisation,Quality control (QC),Series availability,Warnings,Licence ///20
931820,CTD or STD cast,CTD/STD cast,research vessel,53.37233,-99,-3.23483,-999,Fixed point,05/03/2009,-99,-99,18.8,16.09,.73,Oceans 2025,United Kingdom,Proudman Oceanographic Laboratory,null,Public,N,BODC Data Licence Agreement
938308,CTD or STD cast,CTD/STD cast,research vessel,53.369,-99,-3.33017,-999,Fixed point,18/04/2007,-99,-99,15.5,15.61,1.24,Oceans 2025,United Kingdom,Proudman Oceanographic Laboratory,null,Public,Y,BODC Data Licence Agreement
575474,CTD or STD cast,CTD/STD cast,research vessel,53.9507,-99,-3.7573,-999,Fixed point,05/11/2001,-99,-99,39,36.67,1.98,-99,United Kingdom,Department of Agriculture and Fisheries for Scotland Aberdeen Marine Laboratory,null,Public,N,BODC Data Licence Agreement
941758,CTD or STD cast,CTD/STD cast,research vessel,53.537,-99,-3.347,-999,Fixed point,16/05/2007,-99,-99,15.4,15.11,1.24,Coastal Observatory,United Kingdom,Proudman Oceanographic Laboratory,null,Public,Y,BODC Data Licence Agreement
949908,CTD or STD cast,CTD/STD cast,research vessel,53.616,-99,-3.222,-999,Fixed point,10/12/2008,-99,-99,13.2,10.16,3.22,Coastal Observatory,United Kingdom,Proudman Oceanographic Laboratory,null,Public,Y,BODC Data Licence Agreement
929514,CTD or STD cast,CTD/STD cast,research vessel,53.36833,-99,-3.22817,-999,Fixed point,14/02/2008,-99,-99,14.9,14.23,1.49,Oceans 2025,United Kingdom,Proudman Oceanographic Laboratory,null,Public,Y,BODC Data Licence Agreement
945840,CTD or STD cast,CTD/STD cast,research vessel,53.77867,-99,-3.91983,-999,Fixed point,04/10/2007,-99,-99,41.3,41.37,1.24,Coastal Observatory,United Kingdom,Proudman Oceanographic Laboratory,null,Public,Y,BODC Data Licence Agreement
1024491,CTD or STD cast,CTD/STD cast,lowered unmanned submersible,53.451,-99,-3.22267,-999,Fixed point,16/09/2009,-99,-99,13.5,10.65,1.73,Coastal Observatory,United Kingdom,Proudman Oceanographic Laboratory,null,Public,N,BODC Data Licence Agreement
969645,CTD or STD cast,CTD/STD cast,lowered unmanned submersible,53.37033,-99,-3.23283,-999,Fixed point,16/03/2007,-99,-99,19.8,18.58,1.24,POL Dee Experiment,United Kingdom,Proudman Oceanographic Laboratory,null,Public,Y,BODC Data Licence Agreement
929077,CTD or STD cast,CTD/STD cast,research vessel,53.36933,-99,-3.33383,-999,Fixed point,12/02/2008,-99,-99,9.4,9.23,1.36,Oceans 2025,United Kingdom,Proudman Oceanographic Laboratory,null,Public,Y,BODC Data Licence Agreement
945839,CTD or STD cast,CTD/STD cast,research vessel,53.70283,-99,-3.7775,-999,Fixed point,04/10/2007,-99,-99,39.1,39.39,1.24,Coastal Observatory,United Kingdom,Proudman Oceanographic Laboratory,null,Public,Y,BODC Data Licence Agreement
949392,CTD or STD cast,CTD/STD cast,research vessel,53.53233,-99,-3.50233,-999,Fixed point,31/07/2008,-99,-99,29,26.02,.25,Coastal Observatory,United Kingdom,Proudman Oceanographic Laboratory,null,Public,Y,BODC Data Licence Agreement
948260,CTD or STD cast,CTD/STD cast,research vessel,53.38467,-99,-3.64283,-999,Fixed point,15/05/2008,-99,-99,13.5,12.14,1.24,Coastal Observatory,United Kingdom,Proudman Oceanographic Laboratory,null,Public,Y,BODC Data Licence Agreement
931819,CTD or STD cast,CTD/STD cast,research vessel,53.3725,-99,-3.23467,-999,Fixed point,05/03/2009,-99,-99,18.8,15.82,.71,Oceans 2025,United Kingdom,Proudman Oceanographic Laboratory,null,Public,N,BODC Data Licence Agreement
942891,CTD or STD cast,CTD/STD cast,research vessel,53.70367,-99,-3.50067,-999,Fixed point,21/06/2007,-99,-99,35.2,35.43,1.73,Coastal Observatory,United Kingdom,Proudman Oceanographic Laboratory,null,Public,Y,BODC Data Licence Agreement
942123,CTD or STD cast,CTD/STD cast,research vessel,53.61683,-99,-3.36467,-999,Fixed point,16/05/2007,-99,-99,27,27.01,.25,Coastal Observatory,United Kingdom,Proudman Oceanographic Laboratory,null,Public,Y,BODC Data Licence Agreement
953587,CTD or STD cast,CTD/STD cast,research vessel,53.7835,-99,-3.92667,-999,Fixed point,12/05/2009,-99,-99,42.7,38.4,2.73,Coastal Observatory,United Kingdom,Proudman Oceanographic Laboratory,null,Public,N,BODC Data Licence Agreement
942878,CTD or STD cast,CTD/STD cast,research vessel,53.615,-99,-3.4985,-999,Fixed point,20/06/2007,-99,-99,25.4,25.52,1.73,Coastal Observatory,United Kingdom,Proudman Oceanographic Laboratory,null,Public,Y,BODC Data Licence Agreement
941746,CTD or STD cast,CTD/STD cast,research vessel,53.53683,-99,-3.347,-999,Fixed point,16/05/2007,-99,-99,15.5,14.62,1.24,Coastal Observatory,United Kingdom,Proudman Oceanographic Laboratory,null,Public,Y,BODC Data Licence Agreement
948272,CTD or STD cast,CTD/STD cast,research vessel,53.3845,-99,-3.7805,-999,Fixed point,15/05/2008,-99,-99,15.3,11.15,1.24,Coastal Observatory,United Kingdom,Proudman Oceanographic Laboratory,null,Public,Y,BODC Data Licence Agreement
929526,CTD or STD cast,CTD/STD cast,research vessel,53.3685,-99,-3.22883,-999,Fixed point,14/02/2008,-99,-99,16.5,14.6,1.24,Oceans 2025,United Kingdom,Proudman Oceanographic Laboratory,null,Public,Y,BODC Data Licence Agreement
969633,CTD or STD cast,CTD/STD cast,lowered unmanned submersible,53.37033,-99,-3.233,-999,Fixed point,16/03/2007,-99,-99,19.5,18.09,1.24,POL Dee Experiment,United Kingdom,Proudman Oceanographic Laboratory,null,Public,Y,BODC Data Licence Agreement
947293,CTD or STD cast,CTD/STD cast,research vessel,53.44783,-99,-3.50217,-999,Fixed point,16/04/2008,-99,-99,19.2,16.11,1.24,Coastal Observatory,United Kingdom,Proudman Oceanographic Laboratory,null,Public,Y,BODC Data Licence Agreement
929089,CTD or STD cast,CTD/STD cast,research vessel,53.36933,-99,-3.33383,-999,Fixed point,12/02/2008,-99,-99,9.1,7.41,1.3,Oceans 2025,United Kingdom,Proudman Oceanographic Laboratory,null,Public,Y,BODC Data Licence Agreement
949921,CTD or STD cast,CTD/STD cast,research vessel,53.69833,-99,-3.359,-999,Fixed point,10/12/2008,-99,-99,26.1,22.55,1.73,Coastal Observatory,United Kingdom,Proudman Oceanographic Laboratory,null,Public,Y,BODC Data Licence Agreement
931807,CTD or STD cast,CTD/STD cast,research vessel,53.37267,-99,-3.23467,-999,Fixed point,05/03/2009,-99,-99,16.9,14.68,.99,Oceans 2025,United Kingdom,Proudman Oceanographic Laboratory,null,Public,N,BODC Data Licence Agreement
945827,CTD or STD cast,CTD/STD cast,research vessel,53.61633,-99,-3.78183,-999,Fixed point,04/10/2007,-99,-99,39,39.39,1.73,Coastal Observatory,United Kingdom,Proudman Oceanographic Laboratory,null,Public,Y,BODC Data Licence Agreement
953575,CTD or STD cast,CTD/STD cast,research vessel,53.78317,-99,-3.78433,-999,Fixed point,12/05/2009,-99,-99,42.4,37.91,2.73,Coastal Observatory,United Kingdom,Proudman Oceanographic Laboratory,null,Public,N,BODC Data Licence Agreement
1024097,CTD or STD cast,CTD/STD cast,lowered unmanned submersible,53.53133,-99,-3.35783,-999,Fixed point,15/09/2009,-99,-99,26.2,22.05,1.73,Coastal Observatory,United Kingdom,Proudman Oceanographic Laboratory,null,Public,N,BODC Data Licence Agreement
942135,CTD or STD cast,CTD/STD cast,research vessel,53.53383,-99,-3.37783,-999,Fixed point,16/05/2007,-99,-99,26.7,27.5,1.73,Coastal Observatory,United Kingdom,Proudman Oceanographic Laboratory,null,Public,Y,BODC Data Licence Agreement
