"BODC reference","Oceanographic data type",Instrument,Platform,"Latitude A","Latitude B","Longitude A","Longitude B","Positional definition","Start date","End date","Series duration (days)","Sea floor depth (m)","Series depth minimum (m)","Series depth maximum (m)",Project,Country,Organisation,"Quality control (QC)","Series availability",Warnings,Licence
720149,"CTD or STD cast","CTD/STD cast","research vessel",55.95433,-99,-6.63117,-999,"Fixed point",2005/03/18,-99,-99,53,44.59,2.97,-99,"United Kingdom","Fisheries Research Services Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
925525,"CTD or STD cast","CTD/STD cast","research vessel",56.19267,-99,-5.82567,-999,"Fixed point",2008/10/10,-99,-99,212,208.97,1.98,-99,"United Kingdom","Fisheries Research Services Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
900114,"CTD or STD cast","CTD/STD cast","research vessel",55.883,-99,-6.73633,-999,"Fixed point",2007/03/25,-99,-99,63,54.49,0.99,-99,"United Kingdom","Fisheries Research Services Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
713663,"CTD or STD cast","CTD/STD cast","research vessel",53.5725,-99,-5.73983,-999,"Fixed point",2005/11/24,-99,-99,76,68.38,2.97,-99,"United Kingdom","Fisheries Research Services Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
616703,"CTD or STD cast","CTD/STD cast","research vessel",53.7483,-99,-5.588,-999,"Fixed point",2002/03/08,-99,-99,100,97.1,2.97,-99,"United Kingdom","Department of Agriculture and Fisheries for Scotland Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
723589,"CTD or STD cast","CTD/STD cast","research vessel",56.25233,-99,-5.94033,-999,"Fixed point",2006/07/15,-99,-99,78,70.34,1.98,-99,"United Kingdom","Department of Agriculture and Fisheries for Scotland Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
720150,"CTD or STD cast","CTD/STD cast","research vessel",55.46283,-99,-4.82,-999,"Fixed point",2005/03/19,-99,-99,64,58.46,1.98,-99,"United Kingdom","Fisheries Research Services Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
631576,"CTD or STD cast","CTD/STD cast","research vessel",55.9957,-99,-7.2218,-999,"Fixed point",2003/11/18,-99,-99,114,111.94,3.96,-99,"United Kingdom","Department of Agriculture and Fisheries for Scotland Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
720291,"CTD or STD cast","CTD/STD cast","research vessel",54.27033,-99,-5.00183,-999,"Fixed point",2005/03/21,-99,-99,118,113.94,2.97,-99,"United Kingdom","Fisheries Research Services Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
657284,"CTD or STD cast","CTD/STD cast","research vessel",56.18033,-99,-7.38383,-999,"Fixed point",2004/11/28,-99,-99,106,100.05,3.96,-99,"United Kingdom","Department of Agriculture and Fisheries for Scotland Aberdeen Marine Laboratory",null,Public,Y,"BODC Data Licence Agreement"
575486,"CTD or STD cast","CTD/STD cast","research vessel",53.8333,-99,-4.8255,-999,"Fixed point",2001/11/05,-99,-99,64,62.43,2.97,-99,"United Kingdom","Department of Agriculture and Fisheries for Scotland Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
900102,"CTD or STD cast","CTD/STD cast","research vessel",55.70917,-99,-5.15783,-999,"Fixed point",2007/03/24,-99,-99,170,158.49,1.98,-99,"United Kingdom","Fisheries Research Services Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
713651,"CTD or STD cast","CTD/STD cast","research vessel",53.76383,-99,-5.5665,-999,"Fixed point",2005/11/24,-99,-99,102,98.09,0.99,-99,"United Kingdom","Fisheries Research Services Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
925513,"CTD or STD cast","CTD/STD cast","research vessel",56.18783,-99,-5.839,-999,"Fixed point",2008/10/10,-99,-99,176,154.52,0.99,-99,"United Kingdom","Fisheries Research Services Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
558213,"CTD or STD cast","CTD/STD cast","research vessel",53.9835,-99,-5.7738,-999,"Fixed point",2000/03/12,-99,-99,44,42.61,1.98,-99,"United Kingdom","Department of Agriculture and Fisheries for Scotland Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
1026934,"CTD or STD cast","CTD/STD cast","research vessel",56.21867,-99,-7.19817,-999,"Fixed point",2009/03/25,-99,-99,89,85.2,2.97,-99,"United Kingdom","Fisheries Research Services Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
723577,"CTD or STD cast","CTD/STD cast","research vessel",56.29217,-99,-5.92167,-999,"Fixed point",2006/07/15,-99,-99,97,89.16,1.98,-99,"United Kingdom","Department of Agriculture and Fisheries for Scotland Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
621035,"CTD or STD cast","CTD/STD cast","research vessel",55.2268,-99,-5.2167,-999,"Fixed point",2002/11/21,-99,-99,50,47.56,3.96,-99,"United Kingdom","Department of Agriculture and Fisheries for Scotland Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
631588,"CTD or STD cast","CTD/STD cast","research vessel",55.4407,-99,-7.481,-999,"Fixed point",2003/11/19,-99,-99,56,55.49,2.97,-99,"United Kingdom","Department of Agriculture and Fisheries for Scotland Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
657296,"CTD or STD cast","CTD/STD cast","research vessel",56.36867,-99,-6.82467,-999,"Fixed point",2004/11/28,-99,-99,75,66.38,2.97,-99,"United Kingdom","Department of Agriculture and Fisheries for Scotland Aberdeen Marine Laboratory",null,Public,Y,"BODC Data Licence Agreement"
