BODC reference,Oceanographic data type,Instrument,Platform,Latitude A,Latitude B,Longitude A,Longitude B,Positional definition,Start date,End date,Series duration (days),Sea floor depth (m),Series depth minimum (m),Series depth maximum (m),Project,Country,Organisation,Quality control (QC),Series availability,Warnings,Licence ///20
1087074,CTD or STD cast,CTD/STD cast,lowered unmanned submersible,50.033,-99,-4.367,-999,Fixed point,03/08/2004,-99,-99,75,51,2,Western Channel Observatory 2002 - 2007,United Kingdom,Plymouth Marine Laboratory,null,Public,N,BODC Data Licence Agreement
1087572,CTD or STD cast,CTD/STD cast,lowered unmanned submersible,50.0346,-99,-4.35778,-999,Fixed point,14/07/2011,14/07/2011,0,75,62.75,2,Oceans 2025 Theme 10 SO10:WCO,United Kingdom,Plymouth Marine Laboratory,null,Public,N,BODC Data Licence Agreement
1107280,CTD or STD cast,CTD/STD cast,lowered unmanned submersible,52.5665,-99,-5.46683,-999,Fixed point,02/08/2003,02/08/2003,0,77.6,66.25,2.25,Seasonal Thermocline Production Control,United Kingdom,Proudman Oceanographic Laboratory,null,Public,N,BODC Data Licence Agreement
1087965,CTD or STD cast,CTD/STD cast,lowered unmanned submersible,50.25,-99,-4.217,-999,Fixed point,30/08/2011,-99,-99,55,50.75,2,Oceans 2025 Theme 10 SO10:WCO,United Kingdom,Plymouth Marine Laboratory,null,Public,N,BODC Data Licence Agreement
1048051,CTD or STD cast,CTD/STD cast,lowered unmanned submersible,50.2493,-99,-4.214,-999,Fixed point,12/07/2010,12/07/2010,0,55,51.5,2,Oceans 2025 Theme 10 SO10:WCO,United Kingdom,Plymouth Marine Laboratory,null,Public,N,BODC Data Licence Agreement
911972,CTD or STD cast,CTD/STD cast,lowered unmanned submersible,50.249,-99,-4.216,-999,Fixed point,14/05/2009,-99,-99,55,49.25,2,Oceans 2025 Theme 10 SO10:WCO,United Kingdom,Plymouth Marine Laboratory,null,Public,N,BODC Data Licence Agreement
1086901,CTD or STD cast,CTD/STD cast,lowered unmanned submersible,50.033,-99,-4.367,-999,Fixed point,14/08/2002,-99,-99,75,52,2,Western Channel Observatory 2002 - 2007,United Kingdom,Plymouth Marine Laboratory,null,Public,N,BODC Data Licence Agreement
911591,CTD or STD cast,CTD/STD cast,lowered unmanned submersible,50.25,-99,-4.217,-999,Fixed point,02/09/2008,02/09/2008,0,55,46,2.5,Oceans 2025 Theme 10 SO10:WCO,United Kingdom,Plymouth Marine Laboratory,null,Public,N,BODC Data Licence Agreement
1087584,CTD or STD cast,CTD/STD cast,lowered unmanned submersible,50.033,-99,-4.367,-999,Fixed point,09/08/2011,-99,-99,75,60.5,2,Oceans 2025 Theme 10 SO10:WCO,United Kingdom,Plymouth Marine Laboratory,null,Public,N,BODC Data Licence Agreement
1107292,CTD or STD cast,CTD/STD cast,lowered unmanned submersible,52.5665,-99,-5.467,-999,Fixed point,02/08/2003,02/08/2003,0,77.2,65.75,2.25,Seasonal Thermocline Production Control,United Kingdom,Proudman Oceanographic Laboratory,null,Public,N,BODC Data Licence Agreement
1048087,CTD or STD cast,CTD/STD cast,lowered unmanned submersible,50.2492,-99,-4.2146,-999,Fixed point,26/07/2010,26/07/2010,0,55,50.75,2,Oceans 2025 Theme 10 SO10:WCO,United Kingdom,Plymouth Marine Laboratory,null,Public,N,BODC Data Licence Agreement
1087990,CTD or STD cast,CTD/STD cast,lowered unmanned submersible,50.25,-99,-4.217,-999,Fixed point,26/09/2011,-99,-99,55,52,2,Oceans 2025 Theme 10 SO10:WCO,United Kingdom,Plymouth Marine Laboratory,null,Public,N,BODC Data Licence Agreement
1087049,CTD or STD cast,CTD/STD cast,lowered unmanned submersible,50.033,-99,-4.367,-999,Fixed point,09/07/2003,-99,-99,75,51.5,2,Western Channel Observatory 2002 - 2007,United Kingdom,Plymouth Marine Laboratory,null,Public,N,BODC Data Licence Agreement
1087050,CTD or STD cast,CTD/STD cast,lowered unmanned submersible,50.033,-99,-4.367,-999,Fixed point,06/08/2003,-99,-99,75,51.5,2,Western Channel Observatory 2002 - 2007,United Kingdom,Plymouth Marine Laboratory,null,Public,N,BODC Data Licence Agreement
1103395,CTD or STD cast,CTD/STD cast,lowered unmanned submersible,49.936,-99,-7.82483,-999,Fixed point,17/07/2008,17/07/2008,0,123,81.8,3.24,Oceans 2025,United Kingdom,Proudman Oceanographic Laboratory,null,Public,Y,BODC Data Licence Agreement
1087596,CTD or STD cast,CTD/STD cast,lowered unmanned submersible,50.033,-99,-4.367,-999,Fixed point,22/09/2011,-99,-99,75,58.75,2,Oceans 2025 Theme 10 SO10:WCO,United Kingdom,Plymouth Marine Laboratory,null,Public,N,BODC Data Licence Agreement
1087989,CTD or STD cast,CTD/STD cast,lowered unmanned submersible,50.25,-99,-4.217,-999,Fixed point,19/09/2011,-99,-99,55,51.25,2,Oceans 2025 Theme 10 SO10:WCO,United Kingdom,Plymouth Marine Laboratory,null,Public,N,BODC Data Licence Agreement
1048075,CTD or STD cast,CTD/STD cast,lowered unmanned submersible,50.0321,-99,-4.3572,-999,Fixed point,20/07/2010,20/07/2010,0,75,65.25,3.5,Oceans 2025 Theme 10 SO10:WCO,United Kingdom,Plymouth Marine Laboratory,null,Public,N,BODC Data Licence Agreement
911996,CTD or STD cast,CTD/STD cast,lowered unmanned submersible,50.248,-99,-4.221,-999,Fixed point,02/06/2009,02/06/2009,0,55,50,2,Oceans 2025 Theme 10 SO10:WCO,United Kingdom,Plymouth Marine Laboratory,null,Public,N,BODC Data Licence Agreement
1103383,CTD or STD cast,CTD/STD cast,lowered unmanned submersible,49.936,-99,-7.8255,-999,Fixed point,17/07/2008,17/07/2008,0,124,112.9,4.39,Oceans 2025,United Kingdom,Proudman Oceanographic Laboratory,null,Public,Y,BODC Data Licence Agreement
1047649,CTD or STD cast,CTD/STD cast,lowered unmanned submersible,50.25,-99,-4.22,-999,Fixed point,01/09/2009,01/09/2009,0,55,51,2,Oceans 2025 Theme 10 SO10:WCO,United Kingdom,Plymouth Marine Laboratory,null,Public,N,BODC Data Licence Agreement
1087928,CTD or STD cast,CTD/STD cast,lowered unmanned submersible,50.25,-99,-4.217,-999,Fixed point,08/08/2011,-99,-99,55,50.75,3.25,Oceans 2025 Theme 10 SO10:WCO,United Kingdom,Plymouth Marine Laboratory,null,Public,N,BODC Data Licence Agreement
1086925,CTD or STD cast,CTD/STD cast,lowered unmanned submersible,50.033,-99,-4.367,-999,Fixed point,31/10/2002,-99,-99,75,56,2,Western Channel Observatory 2002 - 2007,United Kingdom,Plymouth Marine Laboratory,null,Public,N,BODC Data Licence Agreement
1087523,CTD or STD cast,CTD/STD cast,lowered unmanned submersible,50.03261,-99,-4.3653,-999,Fixed point,07/04/2011,07/04/2011,0,75,74.5,2,Oceans 2025 Theme 10 SO10:WCO,United Kingdom,Plymouth Marine Laboratory,null,Public,N,BODC Data Licence Agreement
1087025,CTD or STD cast,CTD/STD cast,lowered unmanned submersible,50.033,-99,-4.367,-999,Fixed point,25/06/2003,-99,-99,75,52.5,2,Western Channel Observatory 2002 - 2007,United Kingdom,Plymouth Marine Laboratory,null,Public,N,BODC Data Licence Agreement
1103371,CTD or STD cast,CTD/STD cast,lowered unmanned submersible,49.93383,-99,-7.81133,-999,Fixed point,16/07/2008,16/07/2008,0,122,118.7,5.08,Oceans 2025,United Kingdom,Proudman Oceanographic Laboratory,null,Public,Y,BODC Data Licence Agreement
1087916,CTD or STD cast,CTD/STD cast,lowered unmanned submersible,50.25,-99,-4.217,-999,Fixed point,01/08/2011,-99,-99,55,51.25,2,Oceans 2025 Theme 10 SO10:WCO,United Kingdom,Plymouth Marine Laboratory,null,Public,N,BODC Data Licence Agreement
1086913,CTD or STD cast,CTD/STD cast,lowered unmanned submersible,50.033,-99,-4.367,-999,Fixed point,02/10/2002,-99,-99,75,52.5,2,Western Channel Observatory 2002 - 2007,United Kingdom,Plymouth Marine Laboratory,null,Public,N,BODC Data Licence Agreement
1087535,CTD or STD cast,CTD/STD cast,lowered unmanned submersible,50.03478,-99,-4.36175,-999,Fixed point,19/04/2011,19/04/2011,0,75,60.5,2.25,Oceans 2025 Theme 10 SO10:WCO,United Kingdom,Plymouth Marine Laboratory,null,Public,N,BODC Data Licence Agreement
1086403,CTD or STD cast,CTD/STD cast,lowered unmanned submersible,50.25,-99,-4.217,-999,Fixed point,15/11/2005,-99,-99,55,50,2,Western Channel Observatory 2002 - 2007,United Kingdom,Plymouth Marine Laboratory,null,Public,N,BODC Data Licence Agreement
1087037,CTD or STD cast,CTD/STD cast,lowered unmanned submersible,50.033,-99,-4.367,-999,Fixed point,02/07/2003,-99,-99,75,51,2,Western Channel Observatory 2002 - 2007,United Kingdom,Plymouth Marine Laboratory,null,Public,N,BODC Data Licence Agreement
