site,year,month,day,hour,minute,second
b1087480,2011,01,18,10,13,00
b1087492,2011,03,08,10,40,00
b1087511,2011,03,21,10,32,00
b1087523,2011,04,07,08,50,00
b1087535,2011,04,19,09,59,00
b1087547,2011,05,17,09,00,00
b1087559,2011,06,02,09,07,00
b1087560,2011,06,28,09,07,00
b1087572,2011,07,14,08,47,00
b1087584,2011,08,09,08,49,00
b1087596,2011,09,22,08,55,00
b1087603,2011,11,07,10,36,00
b1087615,2011,11,22,10,23,00
b1087627,2011,01,06,08,40,00
b1087639,2011,01,17,09,23,00
b1087640,2011,01,25,09,25,00
b1087664,2011,02,08,08,56,00
b1087676,2011,02,22,08,10,00
b1087688,2011,03,07,08,31,00
b1087707,2011,03,14,08,59,00
b1087719,2011,03,22,08,56,00
b1087720,2011,03,28,08,11,00
b1087732,2011,04,06,07,51,00
b1087744,2011,04,11,08,35,00
b1087756,2011,04,18,08,37,00
b1087768,2011,04,26,08,22,00
b1087781,2011,05,11,08,33,00
b1087793,2011,05,16,08,33,00
b1087800,2011,05,24,08,41,00
b1087812,2011,06,01,08,55,00
b1087824,2011,06,06,08,50,00
b1087836,2011,06,14,08,20,00
b1087848,2011,06,20,08,51,00
b1087861,2011,06,27,09,22,00
b1087873,2011,07,04,07,52,00
b1087885,2011,07,11,08,45,00
b1087897,2011,07,19,08,50,00
b1087904,2011,07,25,08,29,00
b1087916,2011,08,01,08,25,00
b1087928,2011,08,08,08,14,00
b1087941,2011,08,15,08,00,00
b1087953,2011,08,22,07,56,00
b1087965,2011,08,30,08,14,00
b1087977,2011,09,15,07,36,00
b1087989,2011,09,19,08,26,00
b1087990,2011,09,26,07,54,00
b1088004,2011,10,03,08,38,00
b1088016,2011,10,12,07,08,00
b1088028,2011,10,17,07,57,00
b1088041,2011,11,08,09,33,00
b1088053,2011,11,16,09,19,00
b1088065,2011,11,21,09,13,00
b1088077,2011,12,19,09,08,00
b1088090,2011,08,23,08,40,00
b1088121,2011,10,28,09,51,00
b1088133,2011,10,25,09,31,00
b1088145,2011,11,01,10,00,00
b1088157,2011,02,28,09,07,00
b1089413,2010,10,13,14,59,00
b1103149,2008,07,04,19,24,45
b1103150,2008,07,06,03,41,09
b1103162,2008,07,06,11,34,56
b1103174,2008,07,06,13,30,05
b1103186,2008,07,06,20,08,12
b1103198,2008,07,07,03,47,08
b1103205,2008,07,07,08,39,36
b1103217,2008,07,07,12,00,31
b1103229,2008,07,07,16,00,10
b1103230,2008,07,09,03,43,51
b1103242,2008,07,09,11,04,34
b1103254,2008,07,11,03,41,50
b1103266,2008,07,11,10,37,26
b1103278,2008,07,12,00,45,04
b1103291,2008,07,12,07,58,53
b1103309,2008,07,12,13,16,28
b1103310,2008,07,12,21,12,19
b1103322,2008,07,13,04,09,35
b1103334,2008,07,14,11,03,16
b1103346,2008,07,14,18,07,24
b1103358,2008,07,15,03,16,50
b1103371,2008,07,16,20,29,27
b1103383,2008,07,17,03,08,33
b1103395,2008,07,17,12,49,35
b1103402,2008,07,17,13,39,58
b1103451,2008,07,19,11,41,14
b1103463,2008,07,19,15,20,08
b1103475,2008,07,19,18,41,40
b1103487,2008,07,19,20,17,38
b1103499,2008,07,21,03,35,24
b1103506,2008,07,21,06,37,49
b1103518,2008,07,21,13,17,54
b1103531,2008,07,21,20,10,17
b1103543,2008,07,22,10,05,11
b1103555,2008,07,22,16,10,28
b1103567,2008,07,23,03,18,33
b1103579,2008,07,23,06,15,47
b1106497,2003,07,26,15,46,57
b1107046,2003,08,01,10,51,01
b1107058,2003,08,01,13,06,58
b1107071,2003,08,01,20,31,03
b1107083,2003,08,02,02,56,59
b1107095,2003,08,02,03,58,02
b1107102,2003,08,02,04,57,04
b1107114,2003,08,02,05,59,00
b1107126,2003,08,02,07,02,04
b1107138,2003,08,02,08,01,58
b1107151,2003,08,02,09,01,00
b1107163,2003,08,02,10,11,00
b1107175,2003,08,02,11,02,59
b1107187,2003,08,02,12,09,56
b1107199,2003,08,02,13,08,59
b1107206,2003,08,02,14,02,59
b1107218,2003,08,02,15,01,00
b1107231,2003,08,02,16,02,56
b1107243,2003,08,02,17,06,00
b1107255,2003,08,02,18,02,01
b1107267,2003,08,02,19,00,03
b1107279,2003,08,02,19,58,57
b1107280,2003,08,02,20,59,00
b1107292,2003,08,02,22,00,03
b1107311,2003,08,02,22,58,57
b1107323,2003,08,02,23,57,59
b1107335,2003,08,03,00,57,01
b1107347,2003,08,03,01,56,04
b1107359,2003,08,03,02,56,59
b1107360,2003,08,03,03,57,01
b1107372,2003,08,03,05,42,00
b1107384,2003,08,03,07,18,03
b1107396,2003,08,03,08,38,59
b1107403,2003,08,03,10,08,59
b1107415,2003,08,03,12,01,00
b1107427,2003,08,03,12,59,02
b1107439,2003,08,03,14,11,02
b1107440,2003,08,03,15,22,02
b1107452,2003,08,03,16,32,01
b1107464,2003,08,03,17,56,59
b1107476,2003,08,03,20,13,03
b1107488,2003,08,03,21,32,59
b1107507,2003,08,03,22,43,58
b1107519,2003,08,04,00,00,00
b1107520,2003,08,04,01,36,03
b1107532,2003,08,04,11,26,01
b1107544,2003,08,05,03,00,00
b1107556,2003,08,05,03,55,00
b1107568,2003,08,05,05,07,00
b1107581,2003,08,05,06,03,01
b1107593,2003,08,05,06,57,01
b1107600,2003,08,05,08,13,55
b1107612,2003,08,05,09,09,04
b1107624,2003,08,05,10,01,03
b1107636,2003,08,05,11,01,58
b1107648,2003,08,05,12,02,01
b1107661,2003,08,05,13,01,03
b1107673,2003,08,05,13,59,57
b1107685,2003,08,05,15,03,01
b1107697,2003,08,05,16,00,03
b1107704,2003,08,05,17,01,58
b1107716,2003,08,05,18,02,01
b1107728,2003,08,05,18,59,02
b1107741,2003,08,05,19,58,57
b1107753,2003,08,05,21,02,01
b1107765,2003,08,05,21,58,02
b1107777,2003,08,05,22,57,56
b1107789,2003,08,05,23,56,59
b1107790,2003,08,06,00,58,02
b1107808,2003,08,06,01,57,56
b1107821,2003,08,06,02,55,58
b1107833,2003,08,06,04,05,57
b1107845,2003,08,06,16,27,59
b1107949,2003,08,10,02,55,58
b1107950,2003,08,10,03,56,01
b1107962,2003,08,10,04,57,56
b1107974,2003,08,10,05,56,59
b1107986,2003,08,10,06,57,01
b1107998,2003,08,10,08,11,02
b1108001,2003,08,10,09,22,02
b1108013,2003,08,10,10,15,01
b1108025,2003,08,10,11,01,58
b1108037,2003,08,10,12,07,03
b1108049,2003,08,10,13,08,59
b1108050,2003,08,10,14,01,58
b1108062,2003,08,10,15,05,02
b1108074,2003,08,10,16,09,59
b1108086,2003,08,10,17,02,59
b1108098,2003,08,10,18,22,02
b1108105,2003,08,10,18,55,00
b1108117,2003,08,10,19,47,00
b1108129,2003,08,10,21,01,00
b1108130,2003,08,10,21,58,02
b1108142,2003,08,10,22,56,04
b1108154,2003,08,10,23,56,59
b1108166,2003,08,11,00,56,01
b1108178,2003,08,11,01,55,03
b1108191,2003,08,11,02,55,58
b1108209,2003,08,11,03,53,00
b1108210,2003,08,11,06,12,58
b1108222,2003,08,11,07,55,03
b1108234,2003,08,11,09,59,02
b1108246,2003,08,11,12,36,00
b1114669,2012,01,09,09,34,00
b1114670,2012,01,13,08,25,00
b1114682,2012,01,16,09,15,00
b1114694,2012,01,23,11,26,00
b1114701,2012,01,23,09,47,00
b1114713,2012,01,30,09,08,00
b1114725,2012,02,07,07,00,00
b1114737,2012,02,13,10,03,00
b1114749,2012,02,20,08,59,00
b1114750,2012,02,27,09,07,00
b1114762,2012,02,28,10,01,00
b1114774,2012,03,06,09,03,00
b1114786,2012,03,13,08,40,00
b1114798,2012,03,14,10,13,00
b1114805,2012,03,19,08,50,00
b1114817,2012,03,26,08,16,00
b1114829,2012,04,02,08,09,00
b1114830,2012,04,11,07,33,00
b1114842,2012,04,16,08,08,00
b1114854,2012,04,24,08,12,00
b1114866,2012,04,27,08,36,00
b1114878,2012,05,01,08,12,00
b1114891,2012,05,08,09,16,00
b1114909,2012,05,14,08,21,00
b1114910,2012,05,16,09,59,00
b1114922,2012,05,21,07,45,00
b1114934,2012,05,23,07,56,00
b1114946,2012,05,28,08,18,00
b1114958,2012,06,11,08,15,00
b1114971,2012,06,12,09,14,00
b1114983,2012,06,18,08,55,00
b1114995,2012,06,25,08,07,00
b1115009,2012,06,26,09,20,00
b1115010,2012,07,02,08,09,00
b1115022,2012,07,09,08,39,00
b1115034,2012,07,10,09,13,00
b1115046,2012,07,19,11,42,00
b1115058,2012,07,23,08,12,00
b1115071,2012,07,24,08,32,00
b1115083,2012,07,30,08,08,00
b1115095,2012,08,06,07,58,00
b1115102,2012,08,08,09,24,00
b1115114,2012,08,14,07,51,00
b1115126,2012,08,20,07,44,00
b1115138,2012,08,23,09,05,00
b1115151,2012,09,03,08,06,00
b1115163,2012,09,04,07,29,00
b1115175,2012,09,10,08,12,00
b1115187,2012,09,17,07,18,00
b1115199,2012,09,19,08,08,00
b1115206,2012,09,26,07,49,00
b1115218,2012,10,08,08,01,00
b1115231,2012,10,09,09,13,00
b1115243,2012,10,15,08,29,00
b1115255,2012,10,22,07,53,00
b1115267,2012,10,23,09,02,00
b1115279,2012,10,30,09,06,00
b1115280,2012,11,06,10,06,00
b1115292,2012,11,07,08,42,00
b1115311,2012,11,14,09,07,00
b1115323,2012,11,28,09,52,00
b1115335,2012,11,29,09,59,00
b1115347,2012,12,05,08,54,00
b1115359,2012,12,10,11,04,00
b1115360,2012,12,11,10,04,00
b1115372,2012,12,18,08,25,00
