377723.08	5316530.72
176699.45	5323648.97
152260.13	5336718.37
125860.47	5356734.76
125724.97	5360696.65
122831.09	5360888.16
88163.10	5380409.90
24716.13	5416646.33
24047.44	5419583.29
-13205.54	5442897.84
-36764.11	5452573.82
-58023.05	5476574.74
-42921.52	5625894.37
-46090.10	5630777.97
-57301.95	5662108.59
-60986.51	5679211.99
-71257.57	5693124.44
-59727.04	5791361.62
-63174.42	5795679.33
-78271.79	5843854.31
-80047.06	5844308.61
-82834.11	5848532.84
-82667.09	5850943.51
-93195.42	5864479.45
-94617.95	5864775.21
-97528.49	5868770.85
-87281.28	5948394.15
-74504.37	5958124.57
-53113.61	5966826.59
-51149.81	5968372.00
-51356.52	5970646.33
-29106.21	5990028.73
-27448.42	5990075.60
16.74	6014953.21
371.01	6017136.23
10830.15	6032809.44
24435.55	6056911.37
38197.20	6080301.20
56049.54	6110258.88
64801.05	6118979.26
64718.46	6120468.61
73998.21	6129126.49
74160.64	6130815.39
82725.36	6139531.06
83007.79	6141317.49
90449.44	6148090.28
90504.04	6149894.27
98756.62	6158391.24
99175.07	6160495.33
107940.98	6168821.66
108304.62	6170363.23
111669.73	6173995.61
112202.72	6181242.85
114255.88	6182853.96
114500.91	6190670.87
137889.03	6277971.73
140016.73	6283591.09
141570.37	6285098.92
155127.95	6442714.62
168297.40	6450211.77
175647.57	6457781.88
194641.54	6472776.81
205619.45	6481309.73
212053.24	6486649.98
233776.75	6503332.32
274678.33	6530971.29
291316.19	6550249.43
339343.93	6605494.23
368906.68	6618544.54
395538.64	6627271.12
479698.11	6674874.71
493485.76	6687171.94
498777.53	6687557.69
498975.03	6693031.53
551173.26	6737666.22
555228.97	6737919.50
567157.02	6751224.28
572736.76	6751526.37
572673.90	6754600.54
637032.44	6821843.30
919083.28	6844768.77
