Nidd_Hunsingore-Weir,SE4280252991,442802,452991,53.971225,-1.3489817
Wharfe_Flint-Mill-Weir,SE4221547311,442215,447311,53.920227,-1.3587129
Ure_Westwick-Lock,SE3559967047,435599,467047,54.098094,-1.4571414
Ouse_Skelton,SE5684555373,456845,455373,53.991282,-1.1344794
Don_Doncaster,SE5697703973,456977,403973,53.529336,-1.1419324
Dearne_Barnsley-Weir,SE3497007279,434970,407279,53.560971,-1.4735347
Rother_Woodhouse-Mill,SK4321385749,443213,385749,53.366849,-1.3520514
Hebden_Beck_Hebden,SE0248164255,402481,464255,54.074219,-1.9635772
Ure_Kilgram-Bridge,SE1906285989,419062,485989,54.269205,-1.7088147
Aire_Kildwick-Bridge,SE0110645684,401106,445684,53.907313,-1.9846509
Derwent_Buttercrambe,SE7311258712,473112,458712,54.019244,-0.88561706
Dove_Kirkby-Mills,SE7046885533,470468,485533,54.260621,-0.9197099
Snaizeholme_Beck_Low-Houses,SD8330988292,383309,488292,54.289977,-2.2579118
Crimple_Burn-Bridge,SE2838651880,428386,451880,53.96223,-1.5688447
Laver_Ripon,SE3029470949,430294,470949,54.1335,-1.5378685
Swale_Crakehill,SE4250373339,442503,473339,54.154117,-1.3506945
Brompton_Beck_Snainton-Ings,SE9362779462,493627,479462,54.202368,-0.56618384
Eastburn_Beck_Crosshills,SE0203545263,402035,445263,53.903527,-1.9705129
Dove_Rocester-Weir,SK11243967,411240,339670,52.954291,-1.8341433
Trent_Colwick,SK62013996,462010,339960,52.953443,-1.0784558
Idle_Mattersey,SK69018952,469010,389520,53.398007,-0.9636038
Dove_Marston-on-Dove,SK23742884,423740,328840,52.856534,-1.648875
Wreake_Syston-Mill,SK61511246,461510,312460,52.706322,-1.0910695
Anker_Polesworth,SK26280334,426280,303340,52.627188,-1.6131873
Manifold_Ilam,SK13985072,413980,350720,53.053557,-1.7928853
Rea_Calthorpe-Park,SP07078471,407070,284710,52.460293,-1.897375
Trent_Stoke-on-Trent,SJ89174667,389170,346670,53.017219,-2.162885
Derwent_Chatsworth,SK26066836,426060,368360,53.211668,-1.6112414
Poulter_Cuckney,SK57137140,457130,371400,53.236567,-1.1455045
Dove_Izaak-Walton,SK14715100,414710,351000,53.056054,-1.7819819
Torne_Auckley,SE64580122,464580,401220,53.503717,-1.0278193
Sow_Great-Bridgford,SJ88352698,388350,326980,52.840203,-2.1743943
Rothley_Brook_Rothley,SK58061213,458060,312130,52.703736,-1.1421824
Dover_Beck_Lowdham,SK65294795,465290,347950,53.024867,-1.0280315
Cole_Coleshill,SP18178736,418170,287360,52.483862,-1.7338682
Greet_Southwell,SK71495394,471490,353940,53.077912,-0.93428434
Tame_Lea-Marston-Lakes,SP208937,420800,293700,52.540764,-1.6947467
Soar_Littlethorpe,SP54209732,454200,297320,52.571011,-1.2017281
Derwent_St-Mary's-Bridge,SK35393688,435390,336880,52.928168,-1.4749927
Great_Eau_Claythorpe-Mill,TF41607931,541600,379310,53.291839,0.12292366
Lud_Louth,TF337879,533700,387900,53.371054,0.0081056804
Ancholme_Toft-Newton,TF03218747,503210,387470,53.374018,-0.45010164
Witham_Claypole-Mill,SK84204796,484200,347960,53.02232,-0.74616228
Lymn_Partney-Mill,TF40176759,540170,367590,53.186941,0.096333752
Bain_Goulceby-Bridge,TF24597943,524590,379430,53.297185,-0.13206677
Pointon_Lode_Pointon,TF1279231246,512792,331246,52.866883,-0.32588358
Glen_Kates-Br-&-King-St-Br,TF10621487,510620,314870,52.720182,-0.36366645
Chater_Fosters-Bridge,SK96070302,496070,303020,52.616463,-0.58245771
Gwash_South_Arm_Manton,SK87410507,487410,305070,52.636349,-0.70978922
Harpers_Brook_Old-Mill-Bridge,SP98367984,498360,279840,52.407735,-0.55549238
Ise_Brook_Harrowden-Old-Mill,SP89927125,489920,271250,52.33198,-0.68182667
NeneKislingbury_Upton-Total,SP72085919,472080,259190,52.226206,-0.94615271
NeneKislingbury_Dodford,SP62756070,462750,260700,52.24092,-1.0824457
Bedford_Ouse_Bedford,TL0535349560,505353,249560,52.134307,-0.4621775
Kym_Meagre-Farm,TL1560763134,515607,263134,52.254242,-0.30780485
Sapiston_Rectory-Bridge,TL8955979048,589559,279048,52.376662,0.78341933
Tove_Cappenham-Bridge,SP7114448673,471144,248673,52.131791,-0.9620561
Rhee_Burnt-Mill,TL4153852368,541538,252368,52.151462,0.067339406
Ivel_Blunham,TL1528850922,515288,250922,52.144566,-0.31662771
Cam_Dernford,TL4668650642,546686,250642,52.134613,0.1417837
Stringside_Whitebridge,TF7160200623,571602,300623,52.576347,0.53100198
Hiz_Arlesey,TL1900437883,519004,237883,52.026605,-0.26689523
Little_Ouse_Abbey-Heath,TL8508984362,585089,284362,52.425909,0.72076659
Bedford_Ouse_Roxton,TL1600453461,516004,253461,52.167233,-0.30530286
Babingley_Castle-Rising,TF6800725264,568007,325264,52.798774,0.4905689
Tas_Shotesham,TM2258399391,622583,299391,52.546837,1.2813451
Bure_Ingworth,TG1921429614,619214,329614,52.819462,1.251849
Waveney_Needham-Mill,TM2290681137,622906,281137,52.382871,1.2739111
Wensum_Fakenham,TF9193629335,591936,329335,52.827351,0.84744396
Gipping_Stowmarket,TM0575657940,605756,257940,52.18132,1.0081598
Box_Polstead,TL9852837881,598528,237881,52.003855,0.89091218
Stour_Langham,TM0206734431,602067,234431,51.971602,0.94036756
Brett_Cockfield,TL9135352546,591353,252546,52.138063,0.79473265
Roding_Redbridge,TQ4149988348,541499,188348,51.576244,0.040568137
Colne_Lexden,TL9624926113,596249,226113,51.898993,0.85104046
Chelmer_Springfield,TL7130307126,571303,207126,51.736663,0.47946582
Brain_Guithavon-Valley,TL8175314748,581753,214748,51.801832,0.63462382
Chelmer_Churchend,TL6288623350,562886,223350,51.884916,0.36530285
Ingrebourne_Gaynes-Park,TQ5516386177,555163,186177,51.553147,0.23664027
Eastwood_Brook_Eastwood,TQ8585688875,585856,188875,51.568112,0.68029595
Lee_Feildes-Weir,TL3907409193,539074,209193,51.764153,0.013887516
Mimram_Panshanger-Park,TL2825613276,528256,213276,51.803424,-0.1412735
Canons_Brook_Elizabeth-Way,TL4316610394,543166,210394,51.773914,0.073637046
Stansted_Sp_Mountfitchet,TL5004324738,550043,224738,51.900988,0.17945133
Turkey_Brook_Albany-Park,TQ35989850,535980,198500,51.668827,-0.035087688
Pincey_Brook_Sheering-Hall,TL4953512702,549535,212702,51.792987,0.16687284
Beane_Hartham,TL3250313143,532503,213143,51.80124,-0.07976567
Thames_Kingston,TQ17786985,517780,169850,51.415443,-0.30770993
Thames_Days-Weir,SU56889362,456880,193620,51.638517,-1.1794747
Beverley_Brook_Wimbledon-Common,TQ2161471745,521614,171745,51.431666,-0.25195432
Windrush_Newbridge,SP4017901858,440179,201858,51.71402,-1.4198448
Blackwater_Swallowfield,SU73096478,473090,164780,51.377378,-0.95124457
Wey_Tilford,SU87454327,487450,143270,51.181983,-0.75022924
Ver_Hansteads,TL1507701969,515077,201969,51.70467,-0.33605881
Kennet_Theale,SU6495970828,464959,170828,51.432739,-1.0669459
Lambourn_Shaw,SU4703368219,447033,168219,51.41105,-1.3251363
Coln_Bibury,SP1214706228,412147,206228,51.754613,-1.8254274
Cherwell_Enslow-Mill,SP4820718315,448207,218315,51.861344,-1.301374
Wye_Hedsor,SU8959786679,489597,186679,51.571871,-0.70858733
Enborne_Brimpton,SU5678364772,456783,164772,51.379168,-1.1855126
Dun_Hungerford,SU32136852,432130,168520,51.414793,-1.5393791
Tillingbourne_Shalford,SU9999847828,499998,147828,51.220901,-0.56949207
Silk_Stream_Colindeep-Lane,TQ2170589500,521705,189500,51.591214,-0.24452286
Ravensbourne_Catford-Hill,TQ3722573255,537225,173255,51.441673,-0.026938037
Ewelme_Brook_Ewelme,SU6422591613,464225,191613,51.619685,-1.0737201
Mole_Kinnersley-Manor,TQ2624546209,526245,146209,51.201155,-0.19440495
Ock_Abingdon,SU4814896667,448148,196667,51.666725,-1.3052236
Chess_Rickmansworth,TQ0657394809,506573,194809,51.641994,-0.46125726
Quaggy_Manor-House-Gardens,TQ3948574878,539485,174878,51.455706,0.0061977822
Aldbourne_Ramsbury,SU2890171719,428901,171719,51.44373,-1.5855488
Medway_Teston--East-Farleigh,TQ7086553033,570865,153033,51.25087,0.44696052
Beult_Stile-Bridge,TQ75874777,575870,147770,51.202071,0.51602401
Teise_Stone-Bridge,TQ7178939960,571789,139960,51.133149,0.45393874
Great_Stour_Horton,TR1154955356,611549,155356,51.258102,1.0305081
Darent_Hawley,TQ5522271842,555222,171842,51.424336,0.23119293
Cray_Crayford,TQ5105974556,551059,174556,51.449845,0.1725196
Eridge_Stream_Hendal-Bridge,TQ5218736570,552187,136570,51.108228,0.1725746
Nunningham_Stream_Tilley-Bridge,TQ6619312875,566193,112875,50.891453,0.36163465
Ouse_Gold-Bridge,TQ4290721374,542907,121374,50.974057,0.034114527
Uck_Isfield,TQ4587119006,545871,119006,50.952034,0.075354203
Rother_Iping-Mill,SU8522022904,485220,122904,50.999227,-0.78692506
Lod_Halfway-Bridge,SU9312422259,493124,122259,50.992206,-0.67448318
Lavant_Graylingwell,SU8706206450,487062,106450,50.851026,-0.76460535
Loxwood_Stream_Drungewick,TQ0599530912,505995,130912,51.067764,-0.48862515
Rother_Princes-Marsh,SU7723027032,477230,127032,51.037467,-0.89988723
Bull_Lealands,TQ5764213034,557642,113034,50.895277,0.24022333
Wallington_North-Fareham,SU5874607460,458746,107460,50.863671,-1.1666315
Test_Broadlands,SU35411886,435410,118860,50.968076,-1.497098
Meon_Mislingford,SU5892714112,458927,114112,50.923464,-1.1629889
Cheriton_Stream_Sewards-Bridge,SU5736232235,457362,132235,51.086571,-1.1823938
Itchen_Highbridge-&-Allbrook-Total,SU4612921122,446129,121122,50.987659,-1.3441714
Avon_Amesbury,SU1510941387,415109,141387,51.171527,-1.7852675
Nadder_Wilton,SU0972530794,409725,130794,51.07639,-1.8625601
Stour_Throop,SZ1123396046,411233,96046,50.763897,-1.8420939
Stour_Hammoon,ST8200514692,382005,114692,50.931393,-2.2574371
East_Avon_Upavon,SU1335155948,413351,155948,51.3025,-1.8098749
West_Avon_Upavon,SU1335355938,413353,155938,51.30241,-1.8098466
Allen_Walford-Mill,SU0082500698,400825,100698,50.805837,-1.9896593
Frome_East-Stoke-Total,SY8672786839,386727,86839,50.681054,-2.1892285
Piddle_Baggs-Mill,SY9132287609,391322,87609,50.688066,-2.1242096
Sydling_Water_Sydling-St-Nicholas,SY6323999649,363239,99649,50.795231,-2.5229486
Wey_Broadwey,SY6664483888,366644,83888,50.653709,-2.4732082
Exe_Thorverton,SS9360201602,293602,101602,50.804174,-3.5113089
Culm_Wood-Mill,ST0206605773,302066,105773,50.843165,-3.3923472
Axe_Whitford,SY2620895324,326208,95324,50.752805,-3.0474215
Otter_Dotton,SY0866588435,308665,88435,50.688372,-3.2943373
Exe_Pixton,SS9349325960,293493,125960,51.023113,-3.5199733
Creedy_Cowley,SX9009396723,290093,96723,50.75966,-3.5596271
Dart_Austins-Bridge,SX7511265841,275112,65841,50.479042,-3.7615222
East_Dart_Bellever,SX6571277570,265712,77570,50.582383,-3.8981581
Tamar_Gunnislake,SX4262772524,242627,72524,50.53127,-4.2218541
Thrushel_Tinhay,SX3978385516,239783,85516,50.647242,-4.2675533
Tiddy_Tideford,SX34435962,234430,59620,50.413056,-4.3316984
Fal_Tregony,SW9210744747,192107,44747,50.266018,-4.9184366
Fowey_Restormel,SX0979662454,209796,62454,50.431053,-4.6794743
Camel_Denby,SX0174868159,201748,68159,50.479634,-4.7956729
Hayle_St-Erth,SW5488134171,154881,34171,50.156797,-5.4330306
Gannel_Gwills,SW8286659268,182866,59268,50.393098,-5.0562738
Taw_Umberleigh,SS6079523662,260795,123662,50.995469,-3.9850413
Torridge_Torrington,SS4995518564,249955,118564,50.946932,-4.1372953
Mole_Woodleigh,SS6601121039,266011,121039,50.973134,-3.9097906
Doniford_Stream_Swill-Bridge,ST0884842865,308848,142865,51.177728,-3.3053786
Tone_Bishops-Hull,ST2057625023,320576,125023,51.019075,-3.1337076
Brue_Lovington,ST5899431756,358994,131756,51.083647,-2.5867996
Cary_Somerton,ST4981429055,349814,129055,51.05863,-2.7174721
Currypool_Stream_Currypool-Farm,ST2214938193,322149,138193,51.137694,-3.1141272
Midford_Brook_Midford,ST7631561132,376315,161132,51.348769,-2.3414724
Frome_(Bristol)_Frenchay,ST6375377202,363753,177202,51.492592,-2.5234887
Frome_(Somerset)_Tellisford,ST8051956427,380519,156427,51.306624,-2.2808505
Wellow_Brook_Wellow,ST7403357995,374033,157995,51.320462,-2.3740085
Boyd_Bitton,ST6814269866,368142,169866,51.426898,-2.4596091
Sherston_Avon_Fosseway,ST8913987031,389139,187031,51.582031,-2.1581419
Severn_Bewdley,SO78237616,378230,276160,52.383035,-2.3212663
Avon_Evesham,SP0400743741,404007,243741,52.092001,-1.9429276
Arrow_Broom,SP0863853580,408638,253580,52.180406,-1.8750868
Teme_Tenbury,SO59776852,359770,268520,52.313305,-2.5915476
Tern_Walcot,SJ59181228,359180,312280,52.706638,-2.6055872
Roden_Rodington,SJ58911417,358910,314170,52.723607,-2.60982
Leadon_Wedderburn-Bridge,SO7766423340,377664,223340,51.908143,-2.3260917
Rea_Brook_Hookagate,SJ46570923,346570,309230,52.678122,-2.7917061
Avon_Stareton,SP3328771535,433287,271535,52.34089,-1.5128403
Perry_Yeaton,SJ43441924,343440,319240,52.76778,-2.8397229
Severn_Plynlimon-flume,SN853872,285300,287200,52.470647,-3.6899873
Worfe_Burcote,SO74609534,374600,295340,52.555302,-2.3760642
Frome_Ebley-Mill,SO8301404627,383014,204627,51.740087,-2.2473986
Teme_Knightsford-Bridge,SO73495573,373490,255730,52.199159,-2.3892895
Severn_Saxons-Lode,SO8634939041,386349,239041,52.049588,-2.2004742
Dowles_Brook_Oak-Cottage,SO77107642,377100,276420,52.385326,-2.3378856
Tanat_Llanyblodwel,SJ25232244,325230,322440,52.794323,-3.1102992
Severn_Buildwas,SJ64550440,364550,304400,52.636182,-2.5252627
Wye_Cefn-Brwyn,SN829838,282900,283800,52.439585,-3.7241076
Arrow_Titley-Mill,SO3282158500,332821,258500,52.220594,-2.9848077
Lugg_Byton,SO3643264689,336432,264689,52.276657,-2.9331233
Ithon_Disserth,SO0245557784,302455,257784,52.209613,-3.4289822
Frome_Yarkhill,SO6148242705,361482,242705,52.081353,-2.5634921
Lugg_Butts-Bridge,SO5020858942,350208,258942,52.226417,-2.7303824
Wye_Redbrook,SO5276911077,352769,211077,51.796336,-2.6862745
Llynfi_Three-Cocks,SO1661137596,316611,237596,52.030481,-3.2169118
Wye_Ddol-Farm,SN9758067584,297580,267584,52.296802,-3.5032771
Monnow_Grosmont,SO4160924831,341609,224831,51.918927,-2.8504111
Usk_Chain-Bridge,SO3460605591,334606,205591,51.745185,-2.9485782
Senni_Pont-Hen-Hafod,SN9282625467,292826,225467,51.917382,-3.5596934
Yscir_Pontaryscir,SO0034830405,300348,230405,51.963163,-3.451797
Cynon_Abercynon,ST0794095652,307940,195652,51.652094,-3.3320895
Taff_Pontypridd,ST0792489715,307924,189715,51.598725,-3.330758
Rhymney_Llanedeyrn,ST2242282122,322422,182122,51.532653,-3.1198093
Ogmore_Bridgend,SS9037979437,290379,179437,51.503202,-3.5807649
Mellte_Pontneddfechan,SN9149108183,291491,208183,51.761783,-3.5736689
Ewenny_Keepers-Lodge,SS9199178217,291991,178217,51.492547,-3.5571753
Tawe_Ynystanglws,SS6855399798,268553,199798,51.681515,-3.9026869
Cothi_Felin-Mynachdy,SN50872249,250870,222490,51.880974,-4.1680298
Taf_Clog-y-Fran,SN2383116034,223831,216034,51.815096,-4.5571824
Gwili_Glangwili,SN4303621947,243036,221947,51.873944,-4.2815034
Tywi_Capel-Dewi,SN4850920576,248509,220576,51.863141,-4.201464
Eastern_Cleddau_Canaston-Bridge,SN0722615292,207226,215292,51.802951,-4.7973706
Teifi_Glan-Teifi,SN2441941655,224419,241655,52.045405,-4.5617405
Ystwyth_Pont-Llolwyn,SN5902477289,259024,277289,52.375448,-4.0723786
Ystwyth_Cwm-Ystwyth,SN7907573700,279075,273700,52.347995,-3.7766991
Dyfi_Dyfi-Bridge,SH7448901958,274489,301958,52.60087,-3.8546368
Leri_Dolybont,SN6346288050,263462,288050,52.473255,-4.0116263
Glaslyn_Beddgelert,SH5916447783,259164,347783,53.008779,-4.1005153
Erch_Pencaenewydd,SH4001340372,240013,340372,52.936835,-4.3820293
Dwyfawr_Garndolbenmaen,SH4986642916,249866,342916,52.962534,-4.2367232
Clwyd_Pont-y-Cambwll,SJ0698870961,306988,370961,53.227518,-3.3947466
Wheeler_Bodfari,SJ1050171336,310501,371336,53.231492,-3.3422446
Elwy_Pont-y-Gwyddel,SH9524071773,295240,371773,53.232625,-3.5709265
Ceiriog_Brynkinalt-Weir,SJ2950337318,329503,337318,52.928621,-3.0501659
Alyn_Pont-y-Capel,SJ3352654047,333526,354047,53.079492,-2.9937776
Dee_Manley-Hall,SJ3482241459,334822,341459,52.966513,-2.971887
Dee_New-Inn,SH8735330798,287353,330798,52.86284,-3.6746942
Weaver_Ashbrook,SJ6717163507,367171,363507,53.167659,-2.4925264
Dane_Rudheath,SJ6675871800,366758,371800,53.242175,-2.4995706
Wistaston_Brook_Marshfield-Bridge,SJ67415520,367410,355200,53.093005,-2.4881042
Weaver_Audlem,SJ6525443040,365254,343040,52.983566,-2.5189825
Irwell_Adelphi-Weir,SJ8241998759,382419,398759,53.48525,-2.2664123
Mersey_Ashton-Weir,SJ7723993563,377239,393563,53.438347,-2.3440949
Bollin_Wilmslow,SJ8497081491,384970,381491,53.330116,-2.2271401
Goyt_Marple-Bridge,SJ96378979,396370,389790,53.404916,-2.0560657
Tame_Portwood,SJ9069991870,390699,391870,53.423541,-2.1414279
Alt_Kirkby,SJ3916098332,339160,398332,53.47818,-2.9181791
Ribble_Samlesbury,SD5892230412,358922,430412,53.768422,-2.6246825
Calder_Whalley-Weir,SD7292636054,372926,436054,53.82005,-2.4127305
Ribble_Henthorn,SD72193917,372190,439170,53.848017,-2.4241929
Hodder_Hodder-Place,SD7041039923,370410,439923,53.854686,-2.4513207
Lune_Caton,SD5293565318,352935,465318,54.081617,-2.7208922
Lune_Killington-New-Bridge,SD6220590633,362205,490633,54.309886,-2.5823984
Brock_US-A6,SD5123240548,351232,440548,53.858851,-2.7429489
Conder_Galgate,SD4816055371,348160,455371,53.991766,-2.7921698
Kent_Sedgwick,SD5087787421,350877,487421,54.280055,-2.7559618
Sprint_Sprint-Mill,SD5147796106,351477,496106,54.358159,-2.7481628
Leven_Newby-Bridge-FMS,SD3659986267,336599,486267,54.268111,-2.9749757
Duddon_Duddon-Hall,SD1952689585,319526,489585,54.295519,-3.2379521
Ehen_Braystones,NY0090906051,300909,506051,54.440173,-3.5293814
Esk_Cropple-How,SD13109777,313100,497770,54.368005,-3.3390441
