Beane_Hartham,TL3250313143
Thames_Kingston,TQ17786985
Thames_Days-Weir,SU56889362
Beverley_Brook_Wimbledon-Common,TQ2161471745
Windrush_Newbridge,SP4017901858
Blackwater_Swallowfield,SU73096478
Wey_Tilford,SU87454327
Ver_Hansteads,TL1507701969
Kennet_Theale,SU6495970828
Lambourn_Shaw,SU4703368219
Coln_Bibury,SP1214706228
Cherwell_Enslow-Mill,SP4820718315
Wye_Hedsor,SU8959786679
Enborne_Brimpton,SU5678364772
Dun_Hungerford,SU32136852
Tillingbourne_Shalford,SU9999847828
Silk_Stream_Colindeep-Lane,TQ2170589500
Ravensbourne_Catford-Hill,TQ3722573255
Ewelme_Brook_Ewelme,SU6422591613
Mole_Kinnersley-Manor,TQ2624546209
Ock_Abingdon,SU4814896667
Chess_Rickmansworth,TQ0657394809
Quaggy_Manor-House-Gardens,TQ3948574878
Aldbourne_Ramsbury,SU2890171719
Medway_Teston--East-Farleigh,TQ7086553033
Beult_Stile-Bridge,TQ75874777
Teise_Stone-Bridge,TQ7178939960
Great_Stour_Horton,TR1154955356
Darent_Hawley,TQ5522271842
Cray_Crayford,TQ5105974556
Eridge_Stream_Hendal-Bridge,TQ5218736570
Nunningham_Stream_Tilley-Bridge,TQ6619312875
Ouse_Gold-Bridge,TQ4290721374
Uck_Isfield,TQ4587119006
Rother_Iping-Mill,SU8522022904
Lod_Halfway-Bridge,SU9312422259
Lavant_Graylingwell,SU8706206450
Loxwood_Stream_Drungewick,TQ0599530912
Rother_Princes-Marsh,SU7723027032
Bull_Lealands,TQ5764213034
Wallington_North-Fareham,SU5874607460
Test_Broadlands,SU35411886
Meon_Mislingford,SU5892714112
Cheriton_Stream_Sewards-Bridge,SU5736232235
Itchen_Highbridge-&-Allbrook-Total,SU4612921122
Avon_Amesbury,SU1510941387
Nadder_Wilton,SU0972530794
Stour_Throop,SZ1123396046
Stour_Hammoon,ST8200514692
East_Avon_Upavon,SU1335155948
West_Avon_Upavon,SU1335355938
Allen_Walford-Mill,SU0082500698
Frome_East-Stoke-Total,SY8672786839
Piddle_Baggs-Mill,SY9132287609
Sydling_Water_Sydling-St-Nicholas,SY6323999649
Wey_Broadwey,SY6664483888
Exe_Thorverton,SS9360201602
Culm_Wood-Mill,ST0206605773
Axe_Whitford,SY2620895324
Otter_Dotton,SY0866588435
Exe_Pixton,SS9349325960
Creedy_Cowley,SX9009396723
Dart_Austins-Bridge,SX7511265841
East_Dart_Bellever,SX6571277570
Tamar_Gunnislake,SX4262772524
Thrushel_Tinhay,SX3978385516
Tiddy_Tideford,SX34435962
Fal_Tregony,SW9210744747
Fowey_Restormel,SX0979662454
Camel_Denby,SX0174868159
Hayle_St-Erth,SW5488134171
Gannel_Gwills,SW8286659268
Taw_Umberleigh,SS6079523662
Torridge_Torrington,SS4995518564
Mole_Woodleigh,SS6601121039
Doniford_Stream_Swill-Bridge,ST0884842865
Tone_Bishops-Hull,ST2057625023
Brue_Lovington,ST5899431756
Cary_Somerton,ST4981429055
Currypool_Stream_Currypool-Farm,ST2214938193
Midford_Brook_Midford,ST7631561132
Frome_(Bristol)_Frenchay,ST6375377202
