No.,River,Location,"Area (km 2 )","Data period",Download
29003,Lud,Louth,55.2,1968-2011,Y
29009,Ancholme,"Toft Newton",27.2,1974-2011,Y
30001,Witham,"Claypole Mill",297.9,1959-2011,Y
30004,Lymn,"Partney Mill",61.6,1962-2011,Y
30011,Bain,"Goulceby Bridge",62.5,1971-2011,Y
30014,"Pointon Lode",Pointon,11.9,1972-2011,Y
31002,Glen,"Kates Br & King St Br",341.9,1960-2011,Y
31010,Chater,"Fosters Bridge",68.9,1968-2011,Y
31025,"Gwash South Arm",Manton,24.5,1978-2011,Y
32003,"Harpers Brook","Old Mill Bridge",74.3,1938-2011,Y
32004,"Ise Brook","Harrowden Old Mill",194,1943-2011,Y
32006,Nene/Kislingbury,"Upton Total",223,1939-2011,Y
32008,Nene/Kislingbury,Dodford,107,1945-2011,Y
33002,"Bedford Ouse",Bedford,1460,1933-2011,Y
33012,Kym,"Meagre Farm",137.5,1960-2011,Y
33013,Sapiston,"Rectory Bridge",205.9,1949-2011,Y
33018,Tove,"Cappenham Bridge",138.1,1962-2011,Y
33021,Rhee,"Burnt Mill",303,1962-2011,Y
33022,Ivel,Blunham,541.3,1959-2011,Y
33024,Cam,Dernford,198,1949-2011,Y
33029,Stringside,Whitebridge,98.8,1965-2011,Y
33033,Hiz,Arlesey,108,1973-2011,Y
33034,"Little Ouse","Abbey Heath",688.5,1968-2011,Y
33039,"Bedford Ouse",Roxton,1660,1972-2011,Y
33054,Babingley,"Castle Rising",47.7,1976-2011,Y
34002,Tas,Shotesham,146.5,1957-2011,Y
34003,Bure,Ingworth,164.7,1959-2011,Y
34006,Waveney,"Needham Mill",370,1963-2011,Y
34011,Wensum,Fakenham,161.9,1966-2011,Y
35008,Gipping,Stowmarket,128.9,1964-2011,Y
36003,Box,Polstead,53.9,1960-2011,Y
36006,Stour,Langham,578,1962-2011,Y
36009,Brett,Cockfield,25.7,1968-2011,Y
37001,Roding,Redbridge,303.3,1950-2011,Y
37005,Colne,Lexden,238.2,1959-2011,Y
37008,Chelmer,Springfield,190.3,1965-2011,Y
37009,Brain,"Guithavon Valley",60.7,1962-2011,Y
37011,Chelmer,Churchend,72.6,1963-2011,Y
37018,Ingrebourne,"Gaynes Park",47.9,1970-2011,Y
37033,"Eastwood Brook",Eastwood,10.4,1975-2011,Y
38001,Lee,"Feildes Weir",1036,1879-2011,Y
38003,Mimram,"Panshanger Park",133.9,1952-2011,Y
38007,"Canons Brook","Elizabeth Way",21.4,1953-2011,Y
38016,"Stansted Sp",Mountfitchet,20.5,1969-2011,Y
38021,"Turkey Brook","Albany Park",42.2,1971-2011,Y
38026,"Pincey Brook","Sheering Hall",54.6,1974-2011,Y
38030,Beane,Hartham,175.1,1979-2011,Y
39001,Thames,Kingston,9948,1883-2011,Y
39002,Thames,"Days Weir",3444.7,1938-2011,Y
39005,"Beverley Brook","Wimbledon Common",43.5,1935-2011,Y
39006,Windrush,Newbridge,362.6,1950-2011,Y
39007,Blackwater,Swallowfield,354.8,1952-2011,Y
39011,Wey,Tilford,396.3,1954-2011,Y
39014,Ver,Hansteads,132,1956-2011,Y
39016,Kennet,Theale,1033.4,1961-2011,Y
39019,Lambourn,Shaw,234.1,1962-2011,Y
39020,Coln,Bibury,106.7,1963-2011,Y
39021,Cherwell,"Enslow Mill",551.7,1965-2011,Y
39023,Wye,Hedsor,137.3,1964-2011,Y
39025,Enborne,Brimpton,147.6,1967-2011,Y
39028,Dun,Hungerford,101.3,1968-2011,Y
39029,Tillingbourne,Shalford,59,1968-2011,Y
39049,"Silk Stream","Colindeep Lane",29,1973-2011,Y
39056,Ravensbourne,"Catford Hill",120.4,1977-2011,Y
39065,"Ewelme Brook",Ewelme,13.4,1970-2011,Y
39069,Mole,"Kinnersley Manor",142,1972-2011,Y
39081,Ock,Abingdon,234,1962-2011,Y
39088,Chess,Rickmansworth,105,1974-2011,Y
39095,Quaggy,"Manor House Gardens",33.5,1978-2011,Y
39101,Aldbourne,Ramsbury,53.1,1982-2011,Y
40003,Medway,"Teston / East Farleigh",1256.1,1956-2011,Y
40005,Beult,"Stile Bridge",277.1,1958-2011,Y
40009,Teise,"Stone Bridge",136.2,1961-2011,Y
40011,"Great Stour",Horton,345,1964-2011,Y
40012,Darent,Hawley,191.4,1963-2011,Y
40016,Cray,Crayford,119.7,1969-2011,Y
40020,"Eridge Stream","Hendal Bridge",53.7,1973-2011,Y
41001,"Nunningham Stream","Tilley Bridge",16.9,1950-2011,Y
41005,Ouse,"Gold Bridge",180.9,1960-2011,Y
41006,Uck,Isfield,87.8,1964-2011,Y
41011,Rother,"Iping Mill",154,1966-2011,Y
41022,Lod,"Halfway Bridge",52,1970-2011,Y
41023,Lavant,Graylingwell,87.2,1970-2011,Y
41025,"Loxwood Stream",Drungewick,91.6,1971-2011,Y
41027,Rother,"Princes Marsh",37.2,1972-2011,Y
41029,Bull,Lealands,40.8,1978-2011,Y
42001,Wallington,"North Fareham",111,1951-2011,Y
42004,Test,Broadlands,1040,1957-2011,Y
42006,Meon,Mislingford,72.8,1958-2011,Y
42008,"Cheriton Stream","Sewards Bridge",75.1,1970-2011,Y
42010,Itchen,"Highbridge & Allbrook Total",360,1958-2011,Y
43005,Avon,Amesbury,323.7,1965-2011,Y
43006,Nadder,Wilton,220.6,1966-2011,Y
43007,Stour,Throop,1073,1973-2011,Y
43009,Stour,Hammoon,523.1,1968-2011,Y
43014,"East Avon",Upavon,85.8,1971-2011,Y
