latdd,longdd,station,code
46.500000,-1.800000,LES SABLES D OLONNE,190116
46.158566,-1.220728,LA PALLICE,190121
45.550000,-1.066667,LE VERDON,190131
44.400000,8.900000,GENOVA,250011
44.500000,12.283333,PORTO CORSINI,270035
45.416667,12.350000,VENEZIA (ARSENALE),270041
45.416667,12.333333,VENEZIA (S.STEFANO),270051
45.433333,12.333333,VENEZIA (PUNTA DELLA SALUTE),270054
45.650000,13.750000,TRIESTE,270061
45.566667,13.750000,KOPER,279002
45.566667,13.750000,LUKA KOPER,279003
45.083333,13.633333,ROVINJ,280006
45.300000,14.533333,BAKAR,280011
44.116667,15.233333,ZADAR,280013
44.083333,15.266667,GAZENICA,280014
