latdd,longdd,station,code
51.466667,0.366667,TILBURY,170083
51.450000,0.750000,SHEERNESS,170101
51.116667,1.316667,DOVER,170111
50.781833,0.057028,NEWHAVEN,170119
50.800000,-1.116667,PORTSMOUTH,170131
50.716667,-1.866667,BOURNEMOUTH,170146
50.616667,-2.450000,WEYMOUTH,170150
50.366667,-4.183333,DEVONPORT,170157
50.103000,-5.542750,NEWLYN,170161
49.917833,-6.317139,ST. MARYS,170163
51.216667,-4.116667,ILFRACOMBE,170166
51.216667,-3.133333,HINKLEY POINT,170168
51.550000,-2.983333,NEWPORT,170173
51.616667,-3.916667,SWANSEA,170178
51.700000,-5.016667,MILFORD HAVEN (NEWTON NOYES),170181
51.700000,-5.050000,MILFORD HAVEN (HAKIN),170182
51.916667,-4.950000,FISHGUARD,170183
51.916667,-4.950000,FISHGUARD II,170184
52.716667,-4.050000,BARMOUTH,170187
53.316667,-4.616667,HOLYHEAD,170191
53.400000,-3.016667,BIRKENHEAD (ALFRED DOCK),170201
53.400000,-3.000000,LIVERPOOL PRINCES PIER,170211
53.449777,-3.018317,LIVERPOOL (GLADSTONE DOCK),170214
54.033333,-2.916667,HEYSHAM,170225
54.650000,-3.566667,WORKINGTON,170228
54.150000,-4.466667,DOUGLAS,170231
54.850000,-5.116667,PORTPATRICK,170236
55.750000,-4.933333,MILLPORT,170241
55.633333,-6.200000,ISLAY (PORT ELLEN),170244
56.616667,-6.066667,TOBERMORY,170246
57.900000,-5.150000,ULLAPOOL,170249
58.200000,-6.383333,STORNOWAY,170251
58.450000,-5.050000,KINLOCHBERVIE,170255
54.600000,-5.916667,BELFAST,170271
54.600000,-5.916667,BELFAST 2,170272
55.366667,-7.333333,MALIN HEAD,175011
53.350000,-6.216667,DUBLIN,175071
49.183333,-2.116667,ST HELIER (JERSEY) 2,180002
51.050000,2.366667,DUNKERQUE,190001
50.966667,1.850000,CALAIS,190011
50.733333,1.583333,BOULOGNE,190021
49.933333,1.083333,DIEPPE,190031
49.650000,0.150000,ANTIFER,190046
49.433333,0.100000,LE HAVRE,190051
49.650000,-1.616667,CHERBOURG,190061
48.716667,-3.966667,ROSCOFF,190086
48.366667,-4.783333,LE CONQUET,190089
48.383333,-4.500000,BREST,190091
47.650000,-3.450000,PORT TUDY,190103
47.266667,-2.200000,ST. NAZAIRE,190111
47.133333,-2.250000,POINTE ST. GILDAS,190113
46.500000,-1.800000,LES SABLES D OLONNE,190116
46.158566,-1.220728,LA PALLICE,190121
45.550000,-1.066667,LE VERDON,190131
43.516667,-1.516667,BOUCAU,190139
43.400000,-1.683333,SOCOAST JEAN DE LUZ,190141
43.316667,-1.916667,PASAJES,200001
43.466667,-3.800000,SANTANDER I,200011
43.466667,-3.766667,SANTANDER II,200012
43.366667,-8.400000,LA CORUNA I,200030
43.366667,-8.400000,LA CORUNA II,200031
42.233333,-8.733333,VIGO,200041
41.683333,-8.833333,VIANA,210011
41.183333,-8.700000,LEIXOES,210012
40.650000,-8.750000,AVEIRO,210013
38.683333,-9.416667,CASCAIS,210021
38.700000,-9.133333,LISBON,210023
38.500000,-8.900000,SETROIA,210026
37.950000,-8.883333,SINES,210028
37.100000,-8.666667,LAGOS,210031
36.133333,-5.350000,GIBRALTAR,215001
36.533333,-6.316667,CADIZ II,220002
36.533333,-6.283333,CADIZ III,220003
36.116667,-5.433333,ALGECIRAS,220011
36.000000,-5.600000,TARIFA,220021
36.716667,-4.416667,MALAGA,220031
36.833333,-2.483333,ALMERIA,220041
37.600000,-0.966667,CARTAGENA,220046
38.333333,-0.483333,ALICANTE I,220051
38.333333,-0.483333,ALICANTE II,220052
43.300000,5.350000,MARSEILLE,230051
43.116667,5.916667,TOULON,230061
43.700000,7.266667,NICE,230081
43.733333,7.416667,MONACO (CONDAMINE),233011
41.233333,9.366667,LA MADDALENA,240001
39.200000,9.166667,CAGLIARI,240011
43.866667,8.016667,PORTO MAURIZIO,250001
44.400000,8.900000,GENOVA,250011
42.050000,11.816667,CIVITAVECCHIA,250031
40.866667,14.266667,NAPOLI (ARSENALE),250041
40.866667,14.266667,NAPOLI (MANDRACCIO),250051
38.100000,15.650000,REGGIO CALABRIA,250061
38.133333,13.333333,PALERMO,260011
36.666667,15.300000,CAPO PASSERO,260028
37.500000,15.133333,CATANIA,260031
40.433333,17.266667,TARANTO,270006
40.133333,18.500000,OTRANTO,270011
41.616667,15.916667,MANFREDONIA,270019
42.350000,14.400000,ORTONA,270026
43.583333,13.483333,ANCONA,270030
44.500000,12.283333,PORTO CORSINI,270035
45.416667,12.350000,VENEZIA (ARSENALE),270041
45.416667,12.333333,VENEZIA (S.STEFANO),270051
45.433333,12.333333,VENEZIA (PUNTA DELLA SALUTE),270054
45.650000,13.750000,TRIESTE,270061
45.566667,13.750000,KOPER,279002
45.566667,13.750000,LUKA KOPER,279003
45.083333,13.633333,ROVINJ,280006
45.300000,14.533333,BAKAR,280011
44.116667,15.233333,ZADAR,280013
44.083333,15.266667,GAZENICA,280014
43.700000,15.666667,ZLARIN,280017
43.500000,16.383333,SPLIT RT MARJANA,280021
43.500000,16.433333,SPLIT HARBOUR,280031
43.066667,16.200000,VIS-CESKA VILA,280040
43.133333,17.200000,SUCURAJ,280046
42.750000,16.833333,UBLI,280056
42.666667,18.066667,DUBROVNIK,280081
42.083333,19.083333,BAR,281011
38.950000,20.766667,PREVEZA,290001
38.833333,20.700000,LEVKAS,290004
37.950000,22.950000,POSIDHONIA,290011
38.233333,21.733333,PATRAI,290014
37.633333,21.316667,KATAKOLON,290017
37.016667,22.133333,KALAMAI,290021
37.950000,23.500000,NORTH SALAMINOS,290030
37.933333,23.616667,PIRAIEVS,290031
38.033333,24.000000,RAFINA,290032
38.466667,23.600000,KHALKIS SOUTH,290033
38.466667,23.600000,KHALKIS NORTH,290034
40.616667,23.033333,THESSALONIKI,290051
40.916667,24.416667,KAVALLA,290061
40.850000,25.883333,ALEXANDROUPOLIS,290065
38.383333,26.150000,KHIOS,290071
37.433333,24.916667,SIROS,290081
37.083333,26.883333,LEROS,290091
35.500000,24.050000,SOUDHAS,290097
35.333333,25.133333,IRAKLION,290101
36.433333,28.233333,RODHOS,290110
42.483333,27.483333,BOURGAS,295021
43.183333,27.916667,VARNA,295051
44.166667,28.666667,CONSTANTZA,297021
44.616667,33.533333,SEVASTOPOL,298041
44.100000,39.066667,TUAPSE,300001
42.166667,41.683333,POTI,305021
41.633333,41.700000,BATUMI,305031
36.833333,30.616667,ANTALYA II,310052
35.116667,33.950000,FAMAGUSTA,315001
31.250000,32.300000,PORT SAID,330001
35.900000,-5.316667,CEUTA,340001
35.250000,-3.916667,VILLA SANJURJO,340004
35.900000,-5.316667,CEUTA-D,340008
38.650000,-27.233333,ANGRA DO HEROISMO,360011
32.633333,-16.900000,FUNCHAL,365001
28.683333,-17.750000,SANTA CRUZ DE LA PALMA,370011
28.679722,-17.766389,SANTA CRUZ DE LA PALMA B,370015
28.483333,-16.233333,SANTA CRUZ DE TENERIFE I,370021
28.166667,-15.416667,LAS PALMAS: PUERTO DE LA LUZ,370041
28.133333,-15.416667,LAS PALMAS C (PUERTO DE LA LUZ),370045
16.883333,-25.000000,PORTO GRANDE (ST. VINCENT) 2,380002
14.633333,-17.450000,DAKAR,390001
14.675597,-17.420808,DAKAR 2,390002
5.250000,-4.000000,ABIDJAN,405001
4.883333,-1.750000,TAKORADI,410001
5.616667,0.000000,TEMA,410016
5.350000,5.350000,FORCADOS,420011
-4.783333,11.833333,POINTE NOIRE,424021
-15.916667,-5.716667,JAMESTOWN LANDING STEPS,425001
-22.950000,14.500000,WALVIS BAY,427001
-26.633333,15.150000,LUDERITZ,427011
-29.250000,16.866667,PORT NOLLOTH,430021
-32.716667,17.983333,STOMPNEUS BAY,430031
