41.93,8.76,AJACC,AJACCIO
44.66,-1.16,EYRAC,ARCACHON-EYRAC
43.78,-1.42,BOUCA,BOUCAU-BAYONNE
50.73,1.58,BOULO,BOULOGNE-SUR-MER
48.38,-4.50,BREST,BREST
50.97,1.66,CALAI,CALAIS
5.00,-52.00,CAYEN,CAYENNE
49.65,-1.63,CHERB,CHERBOURG
10.28,-109.22,CLIPP,CLIPPERTON
47.87,-3.92,CONCA,CONCARNEAU
-46.42,51.87,CROZE,CROZET
-66.67,140.00,DUMON,DUMONTD'URVILLE
51.05,2.37,DUNKE,DUNKERQUE
-12.78,45.25,DZAOU,DZAOUDZI/MAYOTTE
14.60,-60.08,FOR2F,FORT-DE-FRANCE
5.07,-52.59,SALUT,ILESDUSALUT
-49.35,70.25,KERGU,KERGUELEN
46.16,-1.22,LROCH,LA_ROCHELLE
46.50,-1.80,OLONE,LES_SABLES_D_OLONNE
48.37,-4.78,LCONQ,LE_CONQUET
47.54,-2.89,LCROU,LE_CROUESTY
49.48,-0.12,HAVRE,LE_HAVRE
14.68,-60.93,LROBE,LE_ROBERT
43.28,5.35,MARSE,MARSEILLE
43.73,7.42,MONAC,MONACO
43.70,7.27,NICE1,NICE
-22.27,166.41,NOUME,NOUMEA-CHALEIX
-22.25,166.41,NUMBO,NOUMEA-NUMBO
-9.82,-139.03,NUKUH,NUKUHIVA/MARQUISE
-17.58,-149.61,PAPEE,PAPEETE/TAHITI
16.23,-61.53,PITRE,POINTE-A-PITRE
-20.92,55.30,GALET,PTEGALETS/REUNION
45.55,-1.07,PBLOC,PORT_BLOC/LE_VERDON
42.52,3.11,PVEND,PORTVENDRES
-23.13,-134.95,RIKIT,RIKITEA/GAMBIER
48.72,-3.96,RSCOF,ROSCOFF
43.40,-1.68,SJLUZ,SAINTJEAN-DE-LUZ
48.64,-2.03,SMALO,SAINT-MALO
47.27,-2.20,SNAZA,SAINT-NAZAIRE
-38.72,77.58,SPAUL,SAINT-PAUL
43.40,3.70,SETE1,SETE
43.12,5.92,TOULO,TOULON
